stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,118.6,1436.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,42.91,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,0,13.14,5.26,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,402.19,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,20,1,5,0,0,0,0,0,0,0,0,0,0,13,0,0,6,37,1,1,2,0,0,4,0,2,0,6,14,0,0,0
 24-34,0,0,0,4.1,0.82,1.64,0,0,0,0,0,0,0.82,0,0,0,9.03,0,0,1.64,61.56,0,3.28,0,0,0,5.75,0.82,0,0.82,0,13.13,0,0.82,0
 36-46,0,0,0,5.64,0,3.22,0.81,0,0.81,0,0,0,0,0,0.81,0,8.06,0,0,0,92.65,0,1.61,0.81,0,0,6.45,0.81,0,0,0,20.95,0,0.81,0
 48-58,0,0,0,1.15,0,12.62,0,0.57,2.3,0,0.57,0,0,0.57,0,0,2.3,0.57,0.57,0.57,119.35,0,1.72,0,0,0,0.57,0,0,0,0,14.35,0,0,0
 60-70,0,0,0,1.96,0,40.24,0.98,0,3.93,0,0,0,0,0,0,0,1.96,0,0,0,233.6,0,2.94,0,0,0,0.98,0,0,0,0,18.65,0,0,0
 72-82,0,0,0,0.98,0,56.94,0,0,6.87,0,0,0,0,0,1.96,0.98,3.93,0,0.98,0.98,247.38,0,0.98,0,0,0,1.96,0,0,0,0,11.78,0,0,0.98
 84-94,0,0,0,3.19,0,49.92,0,0,5.31,1.06,0,0,1.06,0,0,0,1.06,0,0,1.06,104.08,0,1.06,0,0,0,3.19,0,0,1.06,0,12.74,3.19,0,0
 96-106,0,0,0,6.56,0,42.62,0,0,5.46,0,0,1.09,0,0,0,0,3.28,0,0,2.19,127.86,0,2.19,0,0,1.09,4.37,0,0,0,0,6.56,3.28,0,0
108-118,0,0,0,3.83,0,43.66,0.77,0,5.36,0.77,0,3.06,0,0,0,0.77,1.53,0,0,0,136.34,0,0.77,0,0,0,0,0,0,0,0,6.13,1.53,2.3,0.77
120,0,0,0,3.92,0,47.03,3.92,0,7.84,3.92,0,3.92,1.96,0,0,0,0,0,0,1.96,184.22,0,0,0,0,0,0,0,0,1.96,0,11.76,0,0,0
