stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,mucous,muscle,neural,notochord,olfactory,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,10.47,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,0,0,9.18,0.57,0,0,0,4.59,0,0
 60-70,0,0,0.98,0,0,1.96,0,0.98,7.85,0,0.98,0.98,0,0.98,0,0
 72-82,0.98,0,3.93,1.96,0,1.96,0,0,17.67,0,0,0,0,0.98,0.98,0
 84-94,0,0,2.12,0,1.06,0,0,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,4.37,2.19,0,1.09,0,0,9.84,0,0,0,0,0,0,0
108-118,2.3,0,2.3,0.77,0.77,2.3,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,5.88,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96
