stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,19,5,0,15,0,0,5,3,2,1,0,0,0,0,0,0,18,0,0,14,178,2,1,3,4,0,3,15,4,0,23,62,0,0,1,0,0
 24-34,0,0,0,0,1.64,0.82,0,28.73,0,0,3.28,0,0,0,0,0.82,0,0.82,0,0.82,18.06,0,0,9.85,254.47,0.82,2.46,0,0,0,2.46,0,0,0,1.64,65.67,0,0,2.46,0,0.82
 36-46,0,0,0,0,3.22,0,0,60.43,0,0.81,5.64,0,0,0.81,0,0,0,0,0,0,13.7,0,2.42,4.83,207.06,0.81,1.61,0,0,0,2.42,0,1.61,0.81,0,37.87,0,0,0.81,0,1.61
 48-58,0,0,0,0,1.15,0,0,98.69,0,1.15,8.61,0,0,0,0.57,0,0.57,0,0.57,0.57,26.97,0.57,0.57,8.03,154.93,1.15,0,2.3,0,0.57,1.72,0,0.57,0,0,34.43,0,0.57,3.44,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,78.52,0,0.98,9.82,0,0,0,0,0,0,0,0,0.98,23.56,0.98,1.96,2.94,104.04,0,0.98,0.98,0,0,0,0,0,0,0,16.69,0,0,3.93,0,0
 72-82,0,0,0,0,4.91,3.93,0,52.03,0,0.98,15.71,0.98,0,0,0,0,0,0,0,0,36.32,0,0,3.93,79.51,0,0,0,0,0.98,2.94,0,0,0,0,6.87,0.98,0,3.93,0,0
 84-94,0,0,1.06,0,2.12,5.31,0,32.92,0,1.06,9.56,1.06,0,0,1.06,0,1.06,0,0,0,18.05,0,1.06,7.43,38.23,0,0,1.06,0,1.06,3.19,0,1.06,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,0,9.84,5.46,0,27.32,0,3.28,10.93,1.09,0,0,3.28,0,1.09,0,0,0,22.95,1.09,0,4.37,40.44,0,0,4.37,0,0,5.46,0,0,0,0,0,0,0,5.46,0,0
108-118,0,0,0,0,4.6,4.6,0.77,21.45,1.53,0.77,6.13,3.83,0,0,4.6,0.77,0.77,0,0,1.53,13.79,0.77,0.77,3.06,54.38,0,0,0.77,0,0,5.36,0,0,0.77,0,0,0.77,0,4.6,0,0.77
120,0,0,0,0,11.76,0,0,13.72,0,0,15.68,0,0,0,1.96,1.96,1.96,0,0,0,23.52,0,0,3.92,45.08,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,1.96,0
