stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,1,11,7,0,0,0,0,0,2,0,59,0,0,0,0,0,0,0,6,0,0,5,47,2,6,15,0,0,0,1,6,0,31,24,9,0,0,0,0
 24-34,0,0,1.64,2.46,6.57,0.82,0,2.46,0,0.82,0,0,0,0.82,0.82,0,0,0,0.82,0,0,9.85,0,0,0.82,78.8,6.57,36.12,38.58,0,0,0,0.82,0,1.64,3.28,6.57,42.68,0,0.82,0,1.64
 36-46,0,0,0,0,3.22,0,0,4.03,0.81,0.81,0.81,4.03,0,0,0,0,0,0,3.22,0,0,9.67,0,0,1.61,136.96,8.86,32.23,32.23,0,0,1.61,0.81,0,0,1.61,0,41.89,0,0,0,0
 48-58,0,0,0.57,0,2.3,0.57,0,10.9,0,0.57,0.57,4.59,0,0.57,1.72,0,0,0,5.16,0.57,0,24.67,0,0,10.9,184.19,3.44,19.51,29.26,0,0.57,0,0,0,1.15,0,0,25.25,0,1.15,0,0.57
 60-70,0,0,0,0,4.91,0,0,17.67,4.91,0,0.98,4.91,0,0.98,2.94,0,0,1.96,4.91,0,0.98,44.17,0,0.98,2.94,433.83,3.93,18.65,33.37,0,0,1.96,0,0,0.98,0.98,0,31.41,0,1.96,0,0.98
 72-82,0,0,1.96,0,0,0,0,80.5,5.89,0,0,15.71,2.94,0,5.89,0.98,0,0,16.69,0,0,62.83,0,0.98,8.83,638.08,0.98,34.36,70.68,0.98,0,0.98,0,0,0.98,0,0,44.17,0,3.93,0.98,2.94
 84-94,0,0,0,0,11.68,1.06,0,69.03,10.62,1.06,0,15.93,1.06,3.19,4.25,0,1.06,0,19.12,0,0,37.17,0,1.06,10.62,321.8,6.37,44.61,93.46,0,0,2.12,0,0,3.19,0,0,14.87,1.06,1.06,2.12,0
 96-106,0,0,3.28,0,17.49,3.28,1.09,68.85,18.58,3.28,1.09,15.3,2.19,0,6.56,0,0,1.09,26.23,0,0,48.09,1.09,0,13.11,315.83,4.37,66.66,118.03,0,1.09,1.09,0,0,1.09,1.09,0,9.84,2.19,6.56,2.19,1.09
108-118,0,0,0,0,12.26,0.77,0,45.96,8.43,3.06,0,16.85,0.77,0,3.06,0.77,0.77,0,24.51,0,0,32.94,0.77,0.77,6.13,414.39,7.66,40.6,86.55,0,0,1.53,0,0,2.3,0.77,0,10.72,2.3,2.3,0.77,0
120,3.92,0,5.88,0,7.84,0,0,37.24,7.84,0,0,9.8,1.96,0,0,0,0,0,31.36,0,0,13.72,0,1.96,5.88,480.15,7.84,33.32,58.79,0,0,3.92,0,0,0,0,0,9.8,0,1.96,0,0
