stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0.82,15.6,0,0,0,0,0,9.85,0,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,41.09,0,0.81,0,0,0,12.89,0,0,0
 48-58,0,0,0,15.49,0,2.87,0,0,0,0,0.57,4.02,0.57,0,55.66,0,0,0,0,0,10.9,0,0,0
 60-70,0,0,0,40.24,0,2.94,0,0,0,1.96,0,8.83,0,0,107.97,0,0,0,0,0,4.91,0.98,0,0
 72-82,0,0,0.98,55.95,0.98,6.87,0,2.94,0,0,0,10.8,2.94,0.98,93.26,0,0,0,0,0,10.8,1.96,0,1.96
 84-94,0,0,0,24.43,0,1.06,0,1.06,0,0,0,9.56,2.12,0,50.98,0,0,0,0,0,3.19,2.12,1.06,5.31
 96-106,0,0,0,25.14,0,4.37,0,1.09,0,0,0,14.21,0,0,38.25,0,0,0,0,0,2.19,3.28,1.09,6.56
108-118,0,0,1.53,20.68,0,1.53,0.77,0.77,0,0,0,9.19,0,0,38.3,0,0,0,0.77,0,0.77,0.77,0.77,6.13
120,0,0,0,15.68,0,0,0,0,0,0,0,9.8,0,0,27.44,0,0,0,0,0,0,0,0,3.92
