stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,1831.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,122.59,1391.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,18.39,0,0,12.26,49.04,0,0,0,0,0,0,0,0
  7-9,10.51,18.4,0,13.14,0,0,44.69,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,315.45,5.26,0,0,118.29,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,3.15,0,0,44.06,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,10,0,0,1,0,0,0,0,1,3,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,5.75,0,0,0,0.82,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,1.15,0,0.57,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,6.31,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,1.96,0,0.98,0,1.96,0,0,0,0,0.98,0,0,3.93,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,1.96,0.98,0,0.98,0,0,0.98,1.96,0,0,0.98,3.93,0.98,0,0,6.87,0,0,0,0,5.89,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,0,0,2.12,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,0,2.12,0,1.06,0,0,24.43,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0,0,6.56,1.09,0,0,1.09,1.09,1.09,0,5.46,0,1.09,0,0,19.67,0,0,0,1.09,0,2.19,0,3.28
108-118,0,0,0.77,0,3.06,0.77,0,0,0,3.06,3.06,0,0,2.3,0.77,0,0,3.06,0.77,0,0,1.53,0,0,0.77,0,12.26,0,1.53,0,0.77,0.77,0,0,0.77
120,0,0,0,0,1.96,3.92,0,0,0,1.96,3.92,0,0,1.96,3.92,0,1.96,0,1.96,0,0,1.96,0,0,0,0,29.4,0,0,0,0,0,0,0,0
