stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,54,0,0,3,1,0,0,0,0,0
 24-34,0,0,0,22.98,1.64,0,41.04,0,2.46,0.82,3.28,0.82,0.82,0,1.64,4.93,0,0.82,0.82,0.82,38.58,9.85,0,18.06,392.37,5.75,0.82,7.39,0.82,633.7,0,1.64,3.28,56.64,0,0,10.67,0,4.1
 36-46,0,0,0,7.25,2.42,0,49.95,1.61,3.22,0.81,12.89,0,0,0.81,0.81,4.03,0.81,0,0.81,4.03,34.64,9.67,0,8.86,356.11,1.61,2.42,6.45,0.81,865.29,1.61,0.81,1.61,72.51,0,0,12.89,0,4.03
 48-58,0,0.57,0,16.64,2.3,0,216.9,1.15,3.44,4.02,43.61,1.15,0,0,1.72,2.3,0.57,1.15,1.72,5.16,83.2,11.48,0.57,16.64,517,4.02,3.44,2.87,0,635.78,0,1.15,0,99.84,0,1.15,8.03,0,13.2
 60-70,0,0,0,13.74,4.91,0,176.67,0.98,4.91,4.91,28.46,0.98,0,0.98,0.98,4.91,0.98,1.96,2.94,0.98,58.89,11.78,3.93,7.85,336.66,1.96,6.87,3.93,0,414.2,0,1.96,0,53,0,0,4.91,0,7.85
 72-82,0,0.98,0,7.85,8.83,0,98.17,2.94,1.96,2.94,17.67,1.96,0,1.96,2.94,0.98,1.96,0.98,1.96,0,63.81,6.87,2.94,2.94,188.48,0.98,2.94,3.93,0.98,299.41,0.98,0,0,15.71,0,2.94,4.91,2.94,4.91
 84-94,0,1.06,0,14.87,15.93,0,61.6,2.12,10.62,1.06,9.56,5.31,0,0,3.19,10.62,2.12,0,3.19,4.25,43.54,11.68,1.06,8.5,92.4,4.25,2.12,2.12,0,819.89,3.19,1.06,0,5.31,2.12,1.06,6.37,2.12,0
 96-106,0,0,0,16.39,5.46,1.09,56.83,0,7.65,3.28,12.02,1.09,0,0,6.56,8.74,2.19,2.19,3.28,0,48.09,14.21,3.28,3.28,83.06,0,4.37,1.09,0,488.5,0,2.19,0,6.56,0,0,4.37,5.46,3.28
108-118,0,0,0.77,10.72,4.6,0.77,35.23,0,3.06,3.06,5.36,0,0,0,0.77,4.6,0,1.53,4.6,0,30.64,14.55,0.77,2.3,65.11,1.53,0.77,0.77,0,271.15,0,0,0,1.53,0,0.77,1.53,0,0.77
120,0,0,0,11.76,3.92,0,17.64,3.92,1.96,0,1.96,1.96,0,0,3.92,0,0,1.96,1.96,0,21.56,0,3.92,3.92,76.43,0,0,1.96,1.96,178.34,0,0,0,5.88,0,1.96,1.96,0,0
