stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,18.4,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,103.85,0,3.15,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,135.32,6.29,0,0,94.41,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,6,195,5,0,0,0,0,2,1,0,5,153,0,0,0,0,0
 24-34,0,0,3.28,0,4.93,0,0,27.09,0,0,0.82,17.24,0,0,0.82,0,0.82,0.82,0,0,0,13.95,0,0,9.85,1631.86,3.28,17.24,3.28,0,0,0,0,0.82,2.46,506.47,0,0,0.82,0,0
 36-46,0,0,1.61,0,3.22,0.81,0,139.38,0,0,0.81,87.82,0,0,0,0,0,0,0,0,3.22,32.23,0,0,6.45,3678.69,1.61,13.7,0.81,0,0,3.22,0,0,0,777.47,0,0,0,0,0.81
 48-58,0,0,2.3,0,9.18,0.57,0,445.27,1.15,0,2.87,191.65,0,0,1.72,0.57,0.57,0,1.15,0,1.72,57.95,1.15,0.57,16.07,4086.06,2.3,8.03,1.72,0,0.57,6.31,0,0,0,818.25,0,0.57,2.3,0,2.3
 60-70,0,0,1.96,0,9.82,0,0,804.85,0,0.98,3.93,177.66,1.96,0,0,2.94,0,0.98,0.98,0.98,0,102.08,0,2.94,6.87,4166.56,2.94,6.87,0,0,0.98,3.93,0,0,0,571.25,0,2.94,3.93,0.98,1.96
 72-82,0,0,4.91,0,21.6,9.82,0,987.55,0,1.96,6.87,216.95,4.91,0,5.89,1.96,0.98,0.98,0,0.98,0,189.46,1.96,2.94,17.67,3457.41,0,16.69,1.96,0,1.96,4.91,0,0.98,0,297.44,0,2.94,3.93,1.96,4.91
 84-94,0,0,3.19,0,27.61,3.19,0,576.69,1.06,1.06,3.19,116.82,1.06,0,3.19,2.12,0,2.12,1.06,2.12,0,123.2,1.06,5.31,13.81,1713.07,2.12,9.56,2.12,0,1.06,8.5,0,1.06,0,181.61,2.12,3.19,3.19,3.19,1.06
 96-106,0,0,3.28,0,26.23,7.65,0,429.49,0,2.19,0,107.1,3.28,0,1.09,1.09,1.09,2.19,0,3.28,0,116.93,1.09,2.19,7.65,1337.64,1.09,7.65,1.09,0,3.28,5.46,1.09,0,0,65.57,1.09,4.37,3.28,6.56,0
108-118,0,0,1.53,0.77,26.04,3.83,0,330.13,1.53,1.53,3.83,88.85,1.53,0,0,3.06,0,2.3,0,0,0,106.47,0.77,0.77,6.13,1698.14,1.53,16.09,0,0,1.53,3.06,0,0.77,0,50.55,0.77,0,2.3,1.53,0.77
120,0,0,0,0,27.44,3.92,1.96,292.01,0,5.88,1.96,96.03,1.96,0,0,3.92,0,5.88,1.96,0,0,86.23,0,3.92,7.84,1499.24,1.96,17.64,0,0,0,3.92,0,0,0,50.95,0,1.96,0,5.88,0
