stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,7.89,0,0,36.8,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,194.52,7.89,0,0,73.6,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.88,12.59,0,0,97.56,0,3.15,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,0,7,3,1,0,0,2,0,1,0,0,0,0,0,0,3,0,3,42,0,0,0,0,0,8,0,3,11,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,13.13,0,1.64,3.28,0,0,0,0,0.82,0.82,1.64,0,4.93,0,0.82,100.14,0,0.82,0,0,1.64,0,0.82,0.82,18.88,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,16.92,0,0,0.81,0,0,0.81,0,0,0,0,0,4.83,0.81,2.42,79.76,0,0,0.81,0,3.22,0,0,0,21.75,0,0,0,0
 48-58,0,0,0,0,0.57,0,30.41,0,0,4.02,0,0,1.15,0.57,0,0,0,0,13.2,0.57,1.15,58.53,0,1.72,0.57,0,1.72,0,0.57,0,6.31,0,0,0,0.57
 60-70,0,0,0,0,0,0,30.43,0,0,6.87,0,0,0,0,0,0,0,0,9.82,0.98,0.98,59.87,0,1.96,0.98,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0.98,0,28.47,0,0.98,5.89,0.98,0,0,0.98,0.98,2.94,0,0,17.67,0,0,44.17,0,0,0.98,0,0,0,0,0,1.96,0.98,3.93,0,0
 84-94,0,0,0,0,3.19,1.06,19.12,0,1.06,3.19,0,0,1.06,1.06,0,0,0,1.06,6.37,1.06,2.12,26.55,0,0,1.06,0,1.06,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,12.02,1.09,0,4.37,1.09,0,0,2.19,0,1.09,0,0,3.28,1.09,1.09,13.11,0,0,0,0,2.19,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0.77,0,3.06,0.77,4.6,0,0,4.6,0.77,0,0,0,0,0.77,0,0,1.53,0.77,0.77,25.28,0,0,0,0,3.83,0,0,0,0,1.53,0,0,0
120,0,0,0,0,7.84,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0,0,35.28,0,1.96,0,0,0,0,0,0,0,0,0,0,0
