stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,17,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,30,2,0,0,0,0,0,1,2,1,22,0,0,0,0
 24-34,0,0,0.82,0,1.64,14.78,0,2.46,0,0.82,2.46,0.82,0,0,1.64,0,0,0,0,0.82,0,10.67,0,0,4.1,64.03,0,0,0.82,0,0,0.82,0,0.82,2.46,32.83,0,0,0,0
 36-46,0,0,2.42,0,0,3.22,0,2.42,0,0,17.72,1.61,0,0,2.42,0,0,0,0,0,0,6.45,0,0,3.22,76.54,0,0,0,0,0,0,0,2.42,0,41.89,0,0,1.61,0
 48-58,0,0,2.3,0,0,5.74,0,7.46,0,0,32.13,0,0,0,0,0,0,0,0,0,0,7.46,0,1.15,1.15,73.45,0,0,1.15,0,0,0,0,1.15,0,29.26,0,0,0,0
 60-70,0,0,0.98,0,0.98,12.76,0,10.8,0,0,32.39,1.96,0,0,0,0,0,0,0,0,0.98,8.83,0,0.98,0.98,84.41,0,0,0,0,0,0,0,0.98,0,22.58,0,0,1.96,0
 72-82,0,0,10.8,0,0,95.22,0,15.71,0.98,0,47.12,5.89,1.96,0,0,0,0,0.98,0,0,0,26.5,0.98,3.93,1.96,117.8,0,0.98,0,0,0,0.98,0,1.96,0,23.56,0,1.96,2.94,4.91
 84-94,0,0,9.56,0,0,65.85,0,16.99,1.06,0,41.42,5.31,2.12,0,0,0,0,1.06,0,0,0,15.93,0,2.12,2.12,70.09,0,0,0,0,0,1.06,0,2.12,0,10.62,0,1.06,2.12,5.31
 96-106,0,0,16.39,0,0,101.63,0,12.02,0,1.09,22.95,6.56,5.46,0,1.09,1.09,1.09,0,1.09,0,1.09,31.69,0,1.09,1.09,64.48,0,0,0,0,1.09,1.09,0,1.09,0,7.65,0,1.09,0,4.37
108-118,0,0,15.32,0,2.3,46.72,0.77,12.26,0,0.77,27.57,6.89,4.6,0,0,0,0,0.77,0,0,0,35.23,0.77,1.53,1.53,75.83,0,0.77,0,0,1.53,1.53,0,1.53,0,4.6,0.77,0,0,1.53
120,0,0,9.8,0,0,88.19,0,7.84,0,0,25.48,11.76,1.96,0,0,1.96,0,1.96,0,0,0,37.24,0,0,1.96,94.07,0,0,0,0,0,0,0,0,0,7.84,0,0,0,3.92
