stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,27,5,2,0,1,0,9,0,4,1,0,19,0,0,0,0,0
 24-34,0,0,3.28,31.19,0.82,0,6.57,0,2.46,0,4.1,0,0,0,0,0,0,2.46,0,0,10.67,0,0,8.21,144.47,1.64,4.1,16.42,0,0,5.75,0,0,0,0,30.37,0,0,0,0,0
 36-46,0,0.81,0,11.28,0,0,12.09,0,0.81,0,2.42,0,0,0,0,0.81,0,0.81,0,0,8.06,0.81,0,4.83,365.77,2.42,3.22,24.17,0,0,0,0,0,0.81,0,44.31,0,0,0,0,0
 48-58,0,0,0,28.69,0,0,65.41,0,0,0,11.48,0,0,0,0.57,0,0,2.3,0.57,0.57,17.21,0,0.57,8.03,717.83,0.57,2.3,22.38,0,0,1.72,0,0,0,1.15,60.82,0,0,1.72,0,0
 60-70,0,0.98,0,35.33,0,0,478.98,0,1.96,0.98,19.63,0.98,0,0,0,0,0.98,2.94,0,0,26.5,0,0,7.85,1468.36,2.94,0,32.39,0,0,0.98,0,0,2.94,0,139.38,0,0,0,0,2.94
 72-82,0,0.98,0,40.25,1.96,0,840.3,0,0.98,1.96,70.68,1.96,0,1.96,0.98,0,0.98,1.96,2.94,0.98,55.95,0.98,1.96,12.76,1252.6,1.96,4.91,47.12,0,0.98,1.96,0,0,2.94,0,133.51,0.98,0,4.91,0,1.96
 84-94,0,0,0,49.92,3.19,0,455.61,0,0,3.19,39.3,5.31,0,0,1.06,0,3.19,1.06,0,1.06,42.48,0,2.12,4.25,637.22,9.56,3.19,79.65,0,0,4.25,0,0,1.06,0,66.91,0,1.06,0,5.31,1.06
 96-106,0,3.28,0,38.25,5.46,1.09,395.61,0,3.28,1.09,46.99,4.37,0,0,2.19,0,0,1.09,1.09,0,36.06,2.19,1.09,2.19,474.3,3.28,5.46,65.57,0,1.09,6.56,1.09,0,2.19,0,19.67,0,0,0,1.09,1.09
108-118,0,0,0.77,39.83,0,0,252.77,1.53,2.3,0.77,32.17,3.06,0,0,0.77,0,1.53,0.77,0.77,0,18.38,1.53,0,1.53,554.56,7.66,4.6,68.94,0,0,0.77,0,0,0.77,0,20.68,0,0,2.3,0.77,0.77
120,0,0,0,58.79,0,0,172.46,0,0,1.96,43.12,3.92,0,0,0,0,0,0,1.96,0,19.6,0,0,5.88,591.86,7.84,0,45.08,0,1.96,1.96,1.96,0,0,0,29.4,1.96,0,0,0,1.96
