stage,blastomeres,eye,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,2.46,0,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42
 48-58,0,0,0.57,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,2.94,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,1.06,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
