stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,15.77,2.63,0,13.14,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,4,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,1.64,0,20.52,0,1.64,0,0.82,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,3.22,3.22,0,0.81,0,0,0,0,12.09,0,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.15,5.16,1.15,0.57,0,0.57,0.57,0,5.74,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,3.93,0,0,0,1.96,0,0,6.87,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0.77,0,3.06,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
