stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,2451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,239.06,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,13.14,0,0,10.51,34.17,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,163.64,12.59,0,0,12.59,34.62,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,54,1,0,4,0,0,2,3,2,0,9,0,1,6,0,1,1,0,0,13,0,0,0,0,284,0,2,3,0,0,3,0,0,0,1
 24-34,0,0,0,2.46,33.66,0,0,4.93,16.42,0,0.82,0.82,0,0,27.91,0,9.03,9.85,0,8.21,14.78,0,2.46,31.19,3.28,0.82,0,0,677.21,0,0,3.28,0.82,0.82,4.1,0,0,1.64,3.28
 36-46,0,0,0,0,18.53,0,0,8.06,4.83,0.81,0.81,0,0.81,0,11.28,0,16.11,3.22,0,4.83,10.47,0,0,29,6.45,1.61,1.61,0,700.13,0,0,1.61,0,0,8.06,0,0,0.81,8.86
 48-58,0,0,0,0,8.61,0,0,13.77,10.33,0.57,1.15,0.57,0,0,4.02,0,12.05,2.87,0.57,8.61,8.61,0,1.15,22.38,0.57,0,0.57,0,424.62,0,0,0.57,0,0,5.74,0,0,0.57,19.51
 60-70,0,0,0.98,0,31.41,0,0,12.76,7.85,1.96,4.91,4.91,0,0.98,5.89,0,10.8,2.94,0.98,29.45,8.83,0,0.98,16.69,4.91,0.98,1.96,0,338.63,0,0,2.94,0,0,0.98,0.98,0,0,6.87
 72-82,0,0,5.89,0.98,44.17,1.96,0,30.43,10.8,0,8.83,12.76,0.98,0,12.76,1.96,28.47,3.93,0.98,50.06,13.74,0,0.98,22.58,0.98,0.98,1.96,0,314.13,0,0,0.98,0,0,0.98,2.94,0.98,0.98,10.8
 84-94,0,0,3.19,0,74.34,0,1.06,38.23,18.05,1.06,5.31,40.36,1.06,1.06,23.36,2.12,30.8,7.43,0,39.3,19.12,0,0,13.81,3.19,1.06,3.19,0,767.85,0,0,1.06,3.19,0,1.06,5.31,0,1.06,7.43
 96-106,0,0,8.74,0,104.91,2.19,0,45.9,13.11,1.09,5.46,39.34,1.09,5.46,19.67,1.09,49.18,6.56,1.09,32.79,9.84,0,1.09,40.44,1.09,3.28,4.37,0,614.18,0,0,3.28,0,0,0,10.93,0,0,5.46
108-118,0,0,1.53,0.77,110.3,0,3.83,55.92,29.11,0,11.49,48.26,0,5.36,27.57,1.53,41.36,11.49,0,14.55,16.85,0.77,0,26.04,3.06,1.53,3.83,0,530.05,0,0,3.06,0,0,1.53,16.85,0.77,2.3,6.89
120,0,0,0,1.96,72.51,1.96,1.96,25.48,19.6,0,19.6,39.2,0,7.84,11.76,3.92,21.56,9.8,0,21.56,15.68,0,0,23.52,1.96,1.96,5.88,0,311.61,0,0,1.96,0,0,0,7.84,0,3.92,3.92
