stage,endocrine.pancreas,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
 24-34,0,0,0,0,0,0,0,17.24,0,0,0,5.75,0,0,0
 36-46,0,1.61,0,0,0,2.42,0,24.17,0,0,0,5.64,0,0,0
 48-58,0.57,0.57,0,0.57,0,0,0,17.21,0,0.57,0,2.3,0,0,0
 60-70,0,8.83,0,0,0,6.87,0,29.45,0,0,0.98,5.89,0,0,0
 72-82,0,4.91,0,1.96,0,7.85,0.98,17.67,0,0,0,0,0,0,0.98
 84-94,0,2.12,0,0,0,5.31,0,7.43,0,0,0,2.12,1.06,1.06,1.06
 96-106,0,2.19,1.09,0,0,6.56,0,8.74,0,0,0,1.09,0,1.09,0
108-118,0,3.83,0,0.77,0.77,4.6,0,5.36,0.77,0,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0
