stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,6,1,0,0,2,0,0,0,2,15,2,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,2.46,0,0,0,0,0,0.82,0,4.93,0,0,0,0,4.93,0,0,8.21,24.63,1.64,0.82,1.64,0,0,0.82,0,3.28,41.04,4.1,8.21,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,0,7.25,11.28,0,0,0.81,0,0,1.61,0,0.81,0,0,0.81,0.81,2.42,0,0,4.83,32.23,0,1.61,0,0,0,0.81,0,0,59.62,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,16.64,12.05,0,0,7.46,0,0,1.15,0,0,0.57,0.57,1.72,0,15.49,0.57,0,5.16,46.48,0,1.15,0,0,0,2.87,0,0,90.09,0,16.64,0,0,0.57,0,0.57
 60-70,0,0,0,4.91,0,0,17.67,16.69,0,1.96,21.59,0,0,0,0,0.98,0.98,0.98,0,1.96,37.3,0.98,2.94,9.82,55.95,0,0.98,0,0.98,0,4.91,0,0,52.02,0,23.56,0,0,0.98,0,0
 72-82,0,0,0,3.93,13.74,0,21.6,11.78,0.98,0.98,19.63,0.98,0.98,1.96,0.98,2.94,1.96,0.98,0,0,64.79,0.98,0.98,11.78,68.72,1.96,1.96,0.98,0,0,1.96,0,0,42.21,0,5.89,0,1.96,4.91,1.96,0.98
 84-94,0,0,2.12,3.19,5.31,0,22.3,26.55,0,2.12,21.24,2.12,0,0,1.06,2.12,3.19,0,2.12,0,31.86,1.06,3.19,5.31,31.86,1.06,1.06,6.37,0,0,6.37,0,0,82.84,0,4.25,1.06,2.12,2.12,2.12,2.12
 96-106,0,0,1.09,6.56,8.74,1.09,27.32,20.76,0,1.09,19.67,3.28,0,2.19,1.09,2.19,8.74,2.19,3.28,1.09,44.81,1.09,0,12.02,45.9,1.09,3.28,3.28,0,5.46,3.28,0,0,67.76,0,2.19,0,3.28,4.37,1.09,4.37
108-118,0,0,0,5.36,10.72,0.77,12.26,32.94,0.77,1.53,11.49,0,0,2.3,0,0.77,12.26,0,3.06,0.77,39.06,0.77,1.53,11.49,50.55,0.77,0.77,6.13,0,0,5.36,0,0.77,57.45,0,3.06,0,0.77,5.36,0.77,3.06
120,0,0,0,5.88,5.88,0,13.72,9.8,1.96,1.96,7.84,1.96,0,1.96,0,0,0,0,5.88,1.96,15.68,0,0,11.76,50.95,0,0,5.88,0,0,5.88,1.96,0,15.68,0,3.92,0,0,1.96,0,0
