stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,3,0,0,13,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0.82,212.6,0,5.75,0,0,0,0.82,0.82,0,59.1,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,15.31,0,0,0,3.22,0,0,0,0,0,0,0,0,2.42,0,0.81,0.81,431.03,0,1.61,0,0,0,0.81,0.81,0,87.82,0,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0,70,0.57,0,0.57,16.07,0,0.57,0,0,0.57,0,0,0,5.16,1.15,0.57,1.72,720.7,0.57,1.72,0,0,0,2.3,0,0,115.33,0,0,2.3,0,1.72
 60-70,0,0,0,0,1.96,0,0,186.49,0.98,0,0,31.41,0.98,0,0,1.96,2.94,0,0,0.98,9.82,0,0,0.98,1280.89,0.98,4.91,0,0,0,3.93,0,0.98,99.13,0,0,2.94,0,0
 72-82,0,0,0.98,0,2.94,1.96,0,388.74,0,0,1.96,129.58,3.93,0,0.98,7.85,15.71,0,0,0.98,28.47,0,0.98,0.98,1378.25,0.98,2.94,1.96,0,0.98,7.85,0,0.98,69.7,0,2.94,5.89,0.98,1.96
 84-94,0,0,0,0,10.62,2.12,0,261.26,0,3.19,1.06,94.52,2.12,1.06,2.12,12.74,8.5,1.06,0,1.06,19.12,1.06,1.06,2.12,621.29,1.06,5.31,5.31,0,1.06,15.93,0,0,40.36,1.06,0,2.12,4.25,0
 96-106,1.09,0,2.19,0,12.02,2.19,0,265.56,1.09,0,1.09,121.31,4.37,0,3.28,21.86,2.19,1.09,0,0,28.41,1.09,1.09,0,594.51,1.09,5.46,6.56,0,1.09,40.44,0,0,21.86,2.19,0,3.28,3.28,3.28
108-118,0,0,1.53,0,18.38,1.53,0.77,213.7,0,1.53,0,113.36,0.77,0,0,20.68,4.6,1.53,0.77,0.77,23.74,0.77,0,0.77,654.13,0.77,3.83,3.06,0,0.77,28.34,0,0,13.02,3.83,0.77,3.06,0.77,0
120,1.96,0,0,1.96,27.44,0,0,164.62,0,3.92,0,121.51,0,1.96,0,21.56,5.88,1.96,1.96,0,11.76,1.96,0,5.88,813.31,1.96,7.84,1.96,1.96,0,33.32,0,0,23.52,5.88,1.96,0,0,0
