stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1462.75,31574.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,935.63,0,0,0,0,0,0,0,0,0
  5-6,1434.33,30231.36,0,49.04,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,968.48,12.26,0,0,269.7,0,514.89,0,0,0,0,0,0,0,0,0
  7-9,63.09,444.25,0,993.65,0,2.63,683.47,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,12465.36,134.06,0,0,6324.68,0,97.26,42.06,0,7.89,0,0,0,0,0,0
 10-12,3.15,254.9,0,748.98,0,69.23,245.46,0,0,0,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,5686.57,66.09,0,0,4915.57,0,50.35,22.03,9.44,399.67,3.15,3.15,0,0,0,0
 14-21,0,4,1,5,638,125,202,25,0,3,11,0,0,0,9,1,0,14,0,134,1,0,63,1089,67,0,14,372,0,200,0,1026,24,229,503,0,6,0,0
 24-34,0,0,0,2.46,45.15,5.75,8.21,90.29,13.13,5.75,0.82,0,4.1,0.82,0,0,0.82,9.85,0,67.31,0,0,38.58,216.71,4.1,0.82,17.24,0,0,8.21,0,0.82,1.64,82.91,208.5,0,9.03,0,0
 36-46,0,0,0,0,1.61,0,0.81,28.2,30.62,0.81,0,0,0.81,0,0,0.81,0,2.42,0,26.59,0,0.81,24.98,33.84,1.61,0,8.06,0,0,1.61,0,0,0,0,86.21,0,5.64,0,0
 48-58,0,0,0,0,1.72,0.57,1.15,14.92,23.53,1.15,0,0,0.57,0,0,0.57,0,0.57,0.57,24.67,0,1.72,13.2,12.05,0,0,1.15,0,0,0,0,0,0,0,26.97,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,5.89,10.8,8.83,0,0,0,0,0,1.96,0,0,0,0.98,13.74,0,0,1.96,7.85,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,2.94,2.94,9.82,2.94,0,0,0,0,0.98,0,0.98,0,0,14.72,0,0.98,5.89,9.82,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,2.94,0.98,0
 84-94,0,0,0,0,2.12,0,1.06,4.25,11.68,4.25,0,0,0,0,6.37,0,0,0,0,9.56,0,0,4.25,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,0,0,4.37,6.56,9.84,2.19,1.09,0,0,0,5.46,0,0,0,1.09,7.65,0,0,1.09,5.46,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,3.06,6.89,5.36,3.83,0,0,0,0,1.53,3.83,0,0,0,6.89,0,0.77,1.53,3.83,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,5.88,5.88,3.92,0,0,0,0,0,0,0,0,0,5.88,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
