stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vasculature
 14-21,1,0,1,0,0,0,0,0,3,0,1,0,2,1,0,0
 24-34,3.28,0,0,0,0,0,0,0,4.93,0.82,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,8.86,0,0,0,0,8.06,0,0
 48-58,1.72,0,2.3,0,0,0,0,0,14.35,0,0,0.57,0,8.61,0,0.57
 60-70,1.96,0,4.91,0,0.98,0,0,0,20.61,0,0,0,0,8.83,0,0
 72-82,0.98,0,9.82,0.98,1.96,0,0.98,0,33.38,0,0.98,0.98,0,17.67,0,0
 84-94,3.19,0,6.37,2.12,1.06,0,0,1.06,29.74,0,0,0,0,9.56,0,0
 96-106,0,1.09,13.11,0,2.19,0,2.19,0,42.62,0,0,1.09,0,6.56,0,1.09
108-118,1.53,0,10.72,0,9.19,0.77,0,0.77,36,0,0,1.53,0,8.43,0.77,0
120,3.92,0,13.72,0,15.68,0,0,1.96,68.59,0,0,1.96,0,25.48,0,0
