stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,7.39,0,0.82,0,0.82,0,1.64,0,0.82
 36-46,0,0,3.22,0,0.81,0,0,0,0,0,0.81,0,0,8.86,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0.57,0.57,1.15,0,0,0,0,0,0.57,0,0,2.3,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,4.25,0,0,0,5.31,0,1.06,0,0
 96-106,0,0,2.19,0,0,1.09,1.09,0,0,0,0,0,0,4.37,0,0,0,8.74,0,0,0,0
108-118,0,0.77,3.06,0,0,0,0,0,0,0.77,1.53,0,0,1.53,0,0,0,13.02,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,25.48,0,0,0,0
