stage,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0
 36-46,0,0.81,0,0,0,0,1.61,0,0,0,0.81,0
 48-58,0.57,1.15,0,0,0,0.57,6.31,0,0,0,0,0
 60-70,0,0.98,1.96,0,0,0,21.59,0,0,0,0,0
 72-82,0,1.96,0,0,0,0,19.63,0,0,0,0,0
 84-94,0,1.06,0,1.06,1.06,0,7.43,0,0,0,0,0
 96-106,0,2.19,1.09,0,3.28,1.09,15.3,0,0,0,0,0
108-118,0,0,0,0,1.53,0,9.96,0,0,0,0,0.77
120,0,1.96,0,0,1.96,1.96,13.72,1.96,0,0,0,0
