stage,axial,blastomeres,epidermis,eye,fast_muscle,gut,iridophores,liver,mesenchyme,neural,pericytes,periderm,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,4.37,1.09,22.95,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0,57.45,0,0,0.77,2.3,0.77,0.77,0,0,0.77
120,0,0,0,0,0,15.68,1.96,1.96,0,0,0,0,1.96,0,0
