stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,27.91,0,0,0,0,9.85,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,2.42,0,0,107.15,0.81,2.42,0,0,12.89,0,0,0
 48-58,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.72,0,0,119.93,0,0.57,0,0,8.03,0,0,0.57
 60-70,0,0,0,24.54,0,0,0.98,0.98,0.98,0,0,0,0,1.96,0,0.98,500.58,0,1.96,0,0,18.65,0,0,0
 72-82,0.98,5.89,0,83.44,0,0,0,7.85,0,0.98,0,0,0,4.91,0.98,0.98,548.75,0,0,0,0,21.6,0,0.98,0
 84-94,1.06,6.37,1.06,56.29,0,1.06,2.12,3.19,1.06,0,0,0,0,8.5,0,3.19,281.44,0,2.12,0,2.12,8.5,1.06,1.06,0
 96-106,1.09,7.65,0,53.55,0,1.09,1.09,7.65,0,1.09,0,0,1.09,15.3,1.09,0,299.44,0,2.19,0,3.28,7.65,0,1.09,0
108-118,0.77,7.66,0,82.72,0.77,1.53,0.77,8.43,2.3,1.53,0.77,0,0,7.66,0,0,420.51,0,0.77,0,0.77,9.96,0.77,0,0
120,0,5.88,1.96,94.07,1.96,3.92,1.96,7.84,1.96,1.96,0,1.96,0,19.6,0,1.96,738.84,0,1.96,1.96,1.96,11.76,0,0,0
