stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,0,0,5,0,0,0,7,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,1.64,16.42,0,0,10.67,0,0,5.75,9.85,0,0,0,0,0,0,0,0,2.46,3.28,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,3.22,0,1.61,0,0,0,0,9.67,0,1.61,15.31,0,0,6.45,12.89,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,3.44,0,4.59,0.57,0,0,1.72,4.59,0,2.87,23.53,0,0,5.74,8.61,0,0,0,0,0.57,0,0,0.57,0,2.87,0,0,1.15,0,1.72
 60-70,0,0,0,0,0,0,0,4.91,0,3.93,0,0,0.98,0.98,2.94,0.98,1.96,47.11,0,0.98,6.87,5.89,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,2.94
 72-82,0,0,0,0,0.98,0,0,9.82,0,8.83,4.91,0,0.98,0,8.83,5.89,6.87,120.74,0,2.94,10.8,9.82,0.98,0,0,0,0,0,0.98,0,0,0,5.89,3.93,0.98,5.89,8.83
 84-94,0,0,1.06,0,2.12,0,0,8.5,0,1.06,5.31,0,0,3.19,13.81,3.19,1.06,57.35,2.12,1.06,6.37,5.31,1.06,0,0,0,1.06,0,1.06,0,0,0,8.5,3.19,1.06,8.5,7.43
 96-106,0,0,0,0,1.09,0,0,13.11,0,5.46,14.21,1.09,0,2.19,17.49,3.28,2.19,106.01,2.19,2.19,5.46,5.46,0,0,0,3.28,3.28,0,1.09,0,0,0,5.46,1.09,1.09,9.84,5.46
108-118,0,0,0,0,3.06,0,0.77,8.43,0.77,5.36,10.72,0.77,0,1.53,13.79,8.43,3.83,66.64,0,1.53,3.83,7.66,0.77,0,0,0.77,0,0,0.77,0,0,0,6.13,1.53,0.77,3.83,6.89
120,0,0,0,0,1.96,0,0,1.96,0,5.88,11.76,0,0,5.88,3.92,1.96,0,74.47,1.96,1.96,1.96,3.92,0,0,0,0,1.96,0,0,0,0,0,3.92,1.96,0,0,5.88
