stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,3,92,28,0,1,0,0,1,15,0,0,0,41,0,0,0,0,3,8,0,1,27,1,3,4,3,0,22,30,0,2,28,0,0,31,0
 24-34,0,1.64,192.9,9.85,0,4.93,22.98,0,0,3.28,2.46,9.03,1.64,50.89,0,17.24,0,0,4.1,7.39,0,3.28,57.46,2.46,19.7,13.13,0,0.82,154.32,11.49,0,2.46,18.88,0,0,137.08,0
 36-46,0,0,89.43,0.81,0,8.86,28.2,0.81,2.42,0.81,0.81,2.42,0.81,22.56,0,8.06,0,0,4.03,3.22,0.81,3.22,45.92,0.81,7.25,10.47,0,0,155.49,8.86,0,0,17.72,0,0,103.13,0
 48-58,0,0.57,60.25,0,0,14.92,24.67,0.57,2.3,0.57,1.15,4.59,0,6.89,0,10.33,0,0,9.18,1.72,0.57,4.02,29.26,0,4.59,13.77,0,0,93.53,1.72,0,0,9.75,0,0,74.02,1.15
 60-70,0,0,105.02,1.96,0,5.89,38.28,4.91,2.94,6.87,0,3.93,0.98,7.85,0,16.69,0,0,20.61,0.98,0,6.87,24.54,0,0.98,8.83,0,0.98,157.04,4.91,0.98,0,6.87,2.94,0,77.54,0.98
 72-82,1.96,0,99.15,0.98,0,13.74,33.38,0.98,2.94,15.71,0.98,12.76,7.85,12.76,0,16.69,0.98,0,39.27,2.94,0,4.91,30.43,0,2.94,20.61,0,0,141.36,5.89,0,0,0.98,6.87,0.98,137.43,0
 84-94,0,0,208.16,1.06,1.06,9.56,64.78,0,3.19,36.11,2.12,3.19,12.74,32.92,0,22.3,1.06,0,27.61,5.31,0,6.37,20.18,0,6.37,20.18,0,1.06,320.74,19.12,0,0,0,29.74,1.06,107.27,0
 96-106,0,0,173.76,2.19,0,9.84,62.29,1.09,2.19,51.36,0,3.28,12.02,34.97,0,30.6,1.09,1.09,29.51,1.09,2.19,3.28,28.41,1.09,12.02,33.88,0,2.19,244.8,13.11,1.09,0,3.28,55.74,2.19,119.12,0
108-118,1.53,0,219.07,1.53,0,8.43,76.6,0.77,4.6,52.85,0,2.3,14.55,28.34,0.77,16.09,3.83,0,26.81,5.36,0.77,2.3,22.98,0.77,4.6,33.7,0,2.3,220.6,16.85,0,0,0.77,65.87,0,87.32,0
120,0,0,241.05,0,0,3.92,58.79,0,0,66.63,0,11.76,21.56,37.24,0,17.64,1.96,0,37.24,9.8,0,0,19.6,0,3.92,17.64,0,0,248.89,7.84,0,0,3.92,27.44,1.96,127.39,0
