stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,13.14,7.89,0,7.89,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.5,15.77,0,0,86.75,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,18.88,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629.39,15.73,0,0,116.44,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,20,3,9,0,0,28,1,0,0,0,5,0,0,0,1,11,0,0,0,156,2,3,12,9,0,0,6,20,4,136,0,1
 24-34,0,0,0,0,6.57,0.82,24.63,0,0.82,24.63,0,0,0,0,5.75,0,0.82,0,3.28,12.31,0,0,3.28,151.86,0,7.39,5.75,0,0,0,0,4.1,1.64,79.62,2.46,0
 36-46,0,0,0,0,2.42,0,26.59,0,0,29,0.81,0,0,0,1.61,3.22,0.81,0.81,1.61,8.86,0.81,0,2.42,109.57,0,16.92,2.42,0,0.81,0.81,0,2.42,0,51.56,0,0
 48-58,0,0,0,0,0.57,0,27.54,0.57,0.57,12.62,0,0,0,0,0,2.3,1.72,0,0.57,8.03,0,0,0.57,41.31,0,10.9,1.15,0,0,0,0,1.15,0,32.71,0,0
 60-70,0,0,0,0,1.96,0,46.13,0,0,20.61,0,0.98,0,0,0,2.94,4.91,0,0,6.87,0.98,0.98,0,34.35,0,11.78,4.91,0,0,0,0,0.98,0,11.78,0,0
 72-82,0,0,0.98,0,0.98,0,28.47,0,0.98,11.78,0.98,0.98,0.98,0,1.96,0,0,0,0,3.93,0.98,0,0,23.56,0,15.71,5.89,0,0,0,0,0.98,0,6.87,0,0
 84-94,0,0,1.06,1.06,3.19,0,22.3,0,0,13.81,0,0,0,1.06,4.25,1.06,3.19,0,1.06,4.25,1.06,1.06,0,18.05,0,11.68,13.81,0,1.06,0,0,1.06,0,4.25,0,0
 96-106,0,0,1.09,0,1.09,0,18.58,0,0,16.39,0,0,0,0,1.09,1.09,6.56,0,0,5.46,0,0,1.09,12.02,0,17.49,10.93,0,0,0,0,0,0,7.65,0,0
108-118,0,0,0,0,1.53,0,19.15,0.77,0.77,12.26,0,0,0,0,0.77,0.77,4.6,0,0,2.3,0,0,1.53,12.26,0,13.79,4.6,0,0,0,0,2.3,0,3.06,0,0
120,0,0,0,0,0,0,11.76,0,0,7.84,3.92,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,9.8,0,9.8,13.72,0,0,0,0,0,0,3.92,0,0
