stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,3,1,1,0,0,4,0,0,0,2,0,0,3,7,0,1,0,0,0,1,273,113,2,0,0
 24-34,0,0,0,3.28,21.34,0.82,4.93,0,0.82,0,4.1,0,0,9.03,35.3,1.64,0,0,0,2.46,0,100.14,90.29,7.39,0,0
 36-46,0,0,0,2.42,12.89,1.61,3.22,0,0,0,2.42,0,0,8.06,14.5,0,0,0,0,0,0,18.53,2.42,0.81,0,0.81
 48-58,0,0,0,4.02,9.18,0.57,0.57,0,0,0,4.59,0,0,2.87,13.77,0,0,0,0,0,0,4.59,0,2.87,0.57,0
 60-70,0,0,0,1.96,10.8,0.98,0,0,0,0,3.93,0,0,3.93,3.93,0,0,0,0,0,0,4.91,0,0,1.96,0
 72-82,0,0.98,0,1.96,25.52,5.89,0,0,0,0,8.83,0,0,6.87,14.72,0,0,0,0,0.98,0,2.94,0,0.98,2.94,0
 84-94,0,0,0,5.31,30.8,4.25,2.12,0,0,0,2.12,0,0,4.25,4.25,0,0,0,1.06,1.06,0,7.43,0,1.06,1.06,0
 96-106,0,0,1.09,3.28,37.16,2.19,4.37,0,0,1.09,5.46,1.09,2.19,5.46,13.11,1.09,0,1.09,0,1.09,0,7.65,0,1.09,1.09,1.09
108-118,0,1.53,0,4.6,44.43,2.3,3.06,1.53,0,0,6.13,0,0,7.66,7.66,0,0,0,0,0,0,16.09,0,0,0.77,0
120,0,0,0,1.96,37.24,0,1.96,0,0,0,1.96,0,0,5.88,3.92,0,0,0,0,0,0,9.8,0,0,3.92,0
