stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,spinal.cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,9.44,3.15,0
 14-21,0,0,1,0,2,0,1,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0,0.82,5.75,0,3.28
 36-46,0,0,8.86,0,1.61,0,0.81,0,0,1.61,0,14.5,0,1.61
 48-58,0,0,4.59,0,2.3,0,0.57,0,0.57,0,0,6.89,0,1.15
 60-70,0,0,3.93,0,0,0,0.98,0.98,1.96,3.93,0,6.87,0,0
 72-82,0,0,2.94,0,0,0,0,0,0,7.85,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,3.28,0,0,0,1.09,0,0,3.28,0,3.28,0,0
108-118,0.77,0.77,0,0,0,2.3,0,0,0,2.3,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
