stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,0,0.82,0,0,0,0,0.82,9.03,0,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0,1.15,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,2.94,0,0.98,2.94,3.93,0.98,6.87,1.96,0,3.93,0,0,17.67,0,0,0,0,0,0,0.98,3.93,0
 84-94,0,0,0,5.31,0,0,0,0,0,39.3,0,10.62,0,0,0,0,0,4.25,0,0,0,0,0,0,0,10.62,0
 96-106,0,0,0,21.86,1.09,3.28,1.09,0,1.09,87.43,0,24.04,0,1.09,1.09,2.19,0,16.39,0,1.09,1.09,0,0,0,1.09,26.23,1.09
108-118,0,0,0,29.11,0.77,2.3,0,0,0.77,111.83,0,9.19,0,0,0.77,0,0,17.62,0.77,0,0.77,0,0.77,0,0,31.4,0
120,0,0,0,1.96,1.96,1.96,1.96,0,0,37.24,0,9.8,0,1.96,0,1.96,0,3.92,0,0,0,0,0,0,1.96,13.72,0
