stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,118.6,3189.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,116.46,1753.08,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,36.78,42.91,0,0,0,0,0,0,0,0,0
  7-9,36.8,28.92,0,34.17,0,0,0,107.78,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,720.27,26.29,0,0,276.01,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,0,0,81.82,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,601.07,15.73,0,0,182.52,3.15,0,0,40.91,0,0,0,0,0,0
 14-21,0,0,1,3,55,11,0,25,0,0,10,2,0,1,0,4,0,1,1,29,0,22,350,8,2,2,4,8,0,42,4,1,47,75,0,2,0
 24-34,0,0,0,0,5.75,0.82,0,32.83,0,0,3.28,0,0,0.82,0.82,0.82,0,0.82,0,22.16,0,7.39,257.75,0,1.64,1.64,0,4.1,0,0,0,0,0.82,52.53,0,3.28,0
 36-46,0,0,0,0,2.42,1.61,0,74.12,0.81,0.81,2.42,0,0,0,0,0,0.81,0,0.81,16.92,0,5.64,187.72,0,2.42,0.81,0,4.03,0,0,0,0,0,32.23,0,0.81,0
 48-58,0,0,0,0,2.3,0.57,0,100.42,1.15,0,6.89,0.57,0,0,1.15,0,0,0,0,22.95,1.72,4.59,90.09,0,0,0.57,0,0.57,0,0,0,0,0,13.2,0,1.15,1.15
 60-70,0,0,0,0,0.98,0.98,0,77.54,0,0.98,6.87,0,0,0,0,0,0,0,0,15.7,0,1.96,47.11,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0
 72-82,0,0,0,0,1.96,0,0,19.63,0.98,0,6.87,0,0,0,0,0,0,0,0,12.76,0,0.98,26.5,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,21.24,0,0,3.19,1.06,0,1.06,2.12,1.06,0,0,0,6.37,1.06,0,24.43,0,0,1.06,0,2.12,0,0,0,0,0,1.06,0,3.19,0
 96-106,0,0,0,0,1.09,0,0,9.84,0,0,4.37,0,0,0,0,0,0,0,0,5.46,1.09,0,7.65,0,0,1.09,0,1.09,0,0,0,0,0,0,0,5.46,0
108-118,0,0,0,0,0.77,0.77,0,9.19,0,0,0.77,0,0,0,0,0,0.77,0,0,2.3,0,1.53,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,9.8,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0,9.8,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
