stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pgc,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,0,0,0,0,0.81,0,0,0,0,0,16.92,0,0,0,0,0.81,0,0
 48-58,0,0.57,0,0,26.4,0,0,0.57,0,0,0,0,1.15,0,0.57,22.38,0,0,0,0,1.15,0,0
 60-70,0,3.93,0,0,53,0,0,0,0.98,0,0,0,0.98,0,0.98,50.06,0,0,0,0,0,0.98,0
 72-82,0,9.82,1.96,0,31.41,0,1.96,1.96,1.96,0,0,0,7.85,0,0.98,138.41,0.98,0,0,0,0,0.98,0
 84-94,0,14.87,1.06,0,27.61,1.06,0,4.25,1.06,0,0,1.06,6.37,0,0,74.34,0,0,0,0,1.06,2.12,2.12
 96-106,0,16.39,1.09,0,28.41,0,0,4.37,4.37,0,1.09,0,4.37,0,0,88.52,0,0,0,1.09,1.09,2.19,6.56
108-118,0,9.19,0,0,23.74,0,0,2.3,2.3,0,0,0,2.3,0.77,0,125.62,0.77,0.77,0,0,0.77,0.77,0
120,0,7.84,1.96,1.96,17.64,0,0,1.96,1.96,0,0,0,1.96,0,0,97.99,0,0,0,0,1.96,1.96,0
