stage,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
 24-34,0,0,6.57,0.82,0,0,0,0,0.82,0,8.21,0,0,0,2.46,0
 36-46,0,0,10.47,0.81,0.81,0,0,0,3.22,0.81,6.45,0,0,0,2.42,0
 48-58,0.57,0,8.61,0,0,0,0,0,2.3,0,6.31,0.57,0,0,0,0
 60-70,0.98,0,10.8,0,0,0.98,0,0,0.98,0,4.91,0,0,0.98,0,0
 72-82,0,0,23.56,0.98,0,0,0.98,0.98,2.94,1.96,10.8,0,0.98,0,0.98,0
 84-94,0,0,15.93,0,1.06,1.06,1.06,0,1.06,0,7.43,0,0,1.06,0,1.06
 96-106,0,0,15.3,0,0,2.19,0,0,4.37,0,1.09,0,0,1.09,0,0
108-118,0,0.77,17.62,0,0,0,0,0,1.53,0,6.13,0,0,0,0,0.77
120,1.96,0,15.68,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0
