stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,2,0,10,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,65,0,0,2,0,0,12,1,2,0,0,7,22,0,0,1,0,0
 24-34,0,0,0.82,4.1,0,0,25.45,0,0,0,0.82,0,0,0,0.82,2.46,0.82,0.82,0,0,3.28,0.82,0,3.28,145.29,0.82,4.93,7.39,0,0,43.51,0,0,0.82,3.28,2.46,42.68,0,0,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,173.22,3.22,0.81,0,9.67,0.81,0,0.81,0,1.61,0,0.81,0.81,0,8.06,0,0,4.03,264.26,0,7.25,3.22,0,0,45.92,0,0,0,4.03,0,52.37,0,0,3.22,0,0.81
 48-58,0,0,0,2.3,1.72,0,417.73,0.57,1.72,0.57,51.07,0.57,0.57,0,2.3,1.15,0.57,1.15,0,1.15,24.1,0,0,6.31,354.61,0.57,10.33,7.46,0,0,26.4,0,0,0,10.33,0,75.17,0,0,1.72,0,1.72
 60-70,0,0,0,8.83,0,0,681.18,3.93,0,0,94.23,0.98,0,0,1.96,0,0,5.89,0,0,34.35,0,0,2.94,456.41,0,17.67,9.82,0,0,32.39,0,0,0.98,13.74,0,61.84,0,0,1.96,0.98,0.98
 72-82,0,0,2.94,4.91,6.87,0,404.44,0.98,0.98,6.87,156.08,4.91,0,0,2.94,3.93,0.98,8.83,0.98,0.98,70.68,0.98,1.96,7.85,465.31,1.96,20.61,34.36,0,0,41.23,0,0,0,11.78,0,42.21,0,1.96,1.96,0,1.96
 84-94,0,0,2.12,6.37,3.19,0,236.83,10.62,6.37,4.25,87.09,4.25,0,0,7.43,8.5,2.12,7.43,1.06,2.12,45.67,1.06,4.25,13.81,209.22,4.25,24.43,41.42,0,1.06,114.7,0,0,1.06,16.99,0,13.81,0,1.06,3.19,1.06,0
 96-106,0,0,0,13.11,5.46,1.09,189.06,5.46,3.28,2.19,104.91,8.74,0,0,10.93,6.56,2.19,27.32,1.09,0,67.76,1.09,2.19,5.46,181.41,1.09,24.04,59.01,0,0,87.43,0,0,0,16.39,0,13.11,1.09,0,0,0,1.09
108-118,0,0,0,13.02,3.83,0.77,161.62,6.13,6.89,0.77,88.85,6.13,0,0,4.6,0.77,1.53,10.72,2.3,0,37.53,0.77,1.53,6.89,177.7,1.53,19.15,41.36,0,0,61.28,0,0,1.53,19.92,0,6.13,1.53,0,2.3,0.77,1.53
120,0,0,0,13.72,13.72,0,121.51,5.88,5.88,0,119.55,1.96,0,0,15.68,5.88,1.96,9.8,1.96,1.96,39.2,1.96,1.96,7.84,192.06,7.84,11.76,39.2,0,0,86.23,0,1.96,1.96,5.88,0,7.84,1.96,0,3.92,1.96,1.96
