stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,1,18,6,0,0,0,0,1,37,0,0,0
 24-34,0,0,0.82,0,1.64,0,2.46,0,0,0,2.46,0,0,0,0,0,7.39,0,6.57,0,3.28,114.92,0.82,0,0.82,0,2.46,0,151.86,0,3.28,0
 36-46,0,0,0,0.81,0,0,1.61,2.42,0.81,0,0,0,0,0,0,0,6.45,0,16.11,0,0.81,147.44,0,0,0,0,0,0,150.66,0,0,0.81
 48-58,0,0,0,0.57,0,0,8.03,5.16,0,0,3.44,0,0,0,0,0,6.31,0.57,12.05,0,1.15,128.53,0,0,0.57,0,0,0,68.28,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,0,20.61,5.89,0.98,0,6.87,0,0,0,0,0,6.87,0,12.76,0,0,213.97,0,1.96,0,0,0,0,77.54,0,0.98,0
 72-82,0,1.96,0,0.98,0,0,62.83,0.98,0,0,10.8,0,0,0.98,0,0,7.85,0,17.67,0,0.98,213.02,0,0,0.98,0.98,0.98,0,46.14,0.98,0,0
 84-94,0,0,0,1.06,1.06,1.06,47.79,1.06,1.06,1.06,11.68,0,0,0,0,1.06,44.61,0,7.43,1.06,2.12,122.13,1.06,0,0,0,1.06,0,40.36,1.06,0,0
 96-106,0,0,0,0,2.19,0,28.41,1.09,1.09,0,13.11,2.19,0,0,0,1.09,12.02,0,4.37,0,1.09,127.86,1.09,2.19,4.37,0,3.28,0,14.21,0,1.09,2.19
108-118,0,0,0,2.3,0.77,0,43.66,3.83,0,0.77,3.06,0,0,0.77,0,0,41.36,0.77,9.96,0,2.3,130.21,0,1.53,1.53,0,2.3,0,8.43,0,0.77,0.77
120,0,0,0,3.92,1.96,0,33.32,1.96,1.96,0,1.96,0,0,0,1.96,0,25.48,0,11.76,0,1.96,154.82,0,0,1.96,0,1.96,0,3.92,0,0,0
