stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,97.56,12.59,0,0,44.06,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,17,5,5,0,1,0,3,1,0,1,0,0,0,0,0,1,17,0,0,12,100,6,0,0,1,0,3,0,9,1,0,6,33,0,2,0,0
 24-34,0,0,0,19.7,3.28,21.34,0,6.57,0.82,9.03,0.82,0,2.46,2.46,0.82,0,0,0,5.75,80.44,0,0,22.98,136.26,4.93,0,0.82,0,0.82,3.28,0,0,0,0,2.46,49.25,0,25.45,0,3.28
 36-46,0,0,0,18.53,0.81,6.45,0,7.25,4.83,4.03,0,0,5.64,0,1.61,0,0,0.81,6.45,111.99,0,1.61,13.7,80.57,2.42,0,0,0,0,2.42,0,0,0.81,0,0,17.72,0,10.47,0,2.42
 48-58,0,0,0,10.9,0,12.05,0,6.89,6.89,9.75,0,0,1.72,1.15,0,1.15,0,0,5.16,140.58,0,2.3,20.08,41.31,1.15,0,0,0,0,1.72,0,0,0,0,0,14.35,0,6.89,0,4.02
 60-70,0,0,0,32.39,0,15.7,0,9.82,5.89,25.52,0,0,1.96,1.96,0,4.91,0,0.98,3.93,177.66,0,3.93,11.78,32.39,0.98,0,0,0,1.96,1.96,0,0,0,0,0,6.87,1.96,9.82,0.98,4.91
 72-82,0,0,0,16.69,2.94,40.25,2.94,5.89,7.85,33.38,0,0,3.93,1.96,0,1.96,0.98,1.96,2.94,263.09,0,8.83,25.52,49.08,0,0,0,0,4.91,1.96,0,0,0,0,0,6.87,1.96,23.56,8.83,4.91
 84-94,0,0,0,33.99,2.12,39.3,2.12,11.68,2.12,28.68,0,0,5.31,4.25,0,3.19,1.06,1.06,18.05,202.85,1.06,11.68,10.62,31.86,2.12,0,1.06,0,2.12,1.06,0,0,0,0,0,2.12,2.12,23.36,7.43,6.37
 96-106,0,0,0,14.21,0,27.32,0,10.93,2.19,30.6,0,0,4.37,9.84,0,1.09,2.19,1.09,6.56,159.56,0,6.56,16.39,41.53,3.28,1.09,0,0,4.37,7.65,0,0,0,1.09,0,1.09,3.28,20.76,4.37,7.65
108-118,0,0,0,37.53,1.53,29.11,0.77,15.32,9.96,25.28,0,0,0,3.06,2.3,9.19,0.77,1.53,11.49,186.89,0,3.83,15.32,37.53,2.3,0,2.3,0,2.3,1.53,0,0,0,0,0,3.83,2.3,14.55,2.3,10.72
120,0,0,0,47.03,1.96,41.16,0,19.6,7.84,29.4,0,0,0,5.88,3.92,5.88,1.96,1.96,5.88,217.54,0,3.92,15.68,45.08,3.92,1.96,3.92,0,3.92,7.84,0,0,1.96,0,0,1.96,1.96,13.72,11.76,1.96
