stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,2.46,0.82,0,0,100.14,0.82,0,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,26.59,0,0,0,0,0
 48-58,0,0,0.57,0,17.21,0,0.57,1.15,0,0,0,0,0.57,0,0.57,10.9,0,2.3,216.32,4.59,0.57,0,0,0.57,29.84,0,0,0,0,0
 60-70,0,0,1.96,0,21.59,0,3.93,2.94,0,0,0,0,0.98,0,0,20.61,3.93,0,169.8,0,1.96,0,0.98,0,25.52,0,0.98,0.98,0,0
 72-82,0,0,0,1.96,28.47,0,0.98,4.91,0.98,0,0,0,0,1.96,0,28.47,14.72,0,174.74,0,4.91,0,0,0.98,9.82,0,1.96,0,0.98,0.98
 84-94,0,0,2.12,2.12,15.93,2.12,0,2.12,0,0,1.06,0,1.06,1.06,0,16.99,7.43,0,86.03,2.12,2.12,0,1.06,4.25,4.25,1.06,0,0,2.12,0
 96-106,0,1.09,2.19,1.09,29.51,1.09,1.09,7.65,0,0,1.09,1.09,0,4.37,0,14.21,9.84,0,91.8,0,2.19,0,1.09,2.19,5.46,0,1.09,0,2.19,0
108-118,0,0,0,2.3,19.15,0.77,0.77,12.26,0,0,0,0,0,1.53,0,21.45,2.3,0.77,113.36,0,0,0,0,0.77,3.83,0,0.77,0,0,0
120,0,0,0,5.88,11.76,0,0,9.8,0,1.96,0,0,0,0,0,3.92,5.88,0,123.47,0,0,0,0,0,7.84,0,0,0,1.96,0
