stage,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,8,0,0,0,1,2,2,14,0
 24-34,0,0,0,0.82,0,0.82,7.39,0,0.82,0.82,0,0,0.82,9.85,0
 36-46,0,7.25,0,1.61,0.81,0,6.45,0,2.42,0.81,0,0,0,7.25,0
 48-58,0,6.31,0,1.72,0.57,0,5.74,0,0,0,0,0,0,3.44,0
 60-70,0,0,0.98,1.96,0,0,4.91,0,0,0.98,0,0,0,0.98,0
 72-82,0,0.98,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,3.19,0,0,0,0,0,0,0,0
 96-106,0,2.19,0,2.19,0,0,0,0,1.09,0,0,0,1.09,1.09,0
108-118,0,0,0,3.06,1.53,0,2.3,0,0,0,0,0,0,0.77,0
120,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
