stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,4.83,0,0,0.81,0,2.42,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,1.72,0,5.74,0,0,2.3,0,4.59,0,0.57,0,0,0,0.57,0,1.15
 60-70,0,0.98,0.98,0,17.67,0,12.76,0.98,0,5.89,0,9.82,0,0,0,0,0,1.96,0,2.94
 72-82,0,0,0.98,0,80.5,0.98,17.67,0,0,7.85,0,14.72,0,0,0,0,0,0,0.98,4.91
 84-94,0,0,2.12,0,42.48,0,42.48,1.06,0,1.06,0,6.37,0,0,0,0,0,0,0,4.25
 96-106,0,2.19,4.37,1.09,57.92,2.19,52.46,0,0,8.74,1.09,6.56,0,0,1.09,2.19,0,1.09,0,2.19
108-118,0,0.77,0.77,0,58.98,0,49.79,0,0.77,5.36,0,4.6,0,0,0.77,0.77,0,0,0,3.83
120,0,0,1.96,0,54.87,0,48.99,0,0,3.92,0,15.68,0,0,1.96,0,0,0,0,3.92
