stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,0,0
 24-34,0,0,0,0,0,0,19.7,0,0.82,0.82,0,0.82,0,0.82,0,18.88,0,0,0,0,0,0.82,0,0.82,0.82,0,0.82
 36-46,0,0,0.81,0,0,0,5.64,0.81,0,0,0,0,0,0,0,27.39,0.81,0,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,9.75,1.15,0,0,1.72,0,0.57,0,1.15,22.95,0,0.57,0.57,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,1.96,0,0,36.32,0,0,0,0.98,0,0,2.94,0,40.24,0,0.98,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,1.96,0,0,71.66,0,0,0.98,3.93,0,0,3.93,1.96,76.57,0,0,0.98,0,0.98,0,0,0,4.91,0,1.96
 84-94,0,0,0,2.12,0,0,41.42,1.06,2.12,1.06,6.37,0,0,7.43,0,29.74,0,0,1.06,0,0,0,0,2.12,2.12,1.06,1.06
 96-106,0,0,0,0,1.09,0,52.46,0,0,0,5.46,0,0,5.46,0,32.79,0,1.09,2.19,0,0,1.09,0,3.28,1.09,2.19,0
108-118,0,0,0,0.77,0,0.77,45.19,0,1.53,0,3.06,0,0.77,4.6,0.77,53.62,0.77,0.77,1.53,0,0,0.77,0,1.53,1.53,0.77,2.3
120,0,0,0,0,0,0,33.32,0,3.92,0,3.92,0,0,5.88,0,43.12,1.96,0,0,0,0,0,0,3.92,0,0,0
