stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,7,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0,0,0.82,0,0.82,9.03,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.51,1.61,0,0,0.81,0,12.09,0
 48-58,0,0,0,0,0,3.44,0,0,4.02,0,0,0,0,4.02,0,0.57,121.07,1.15,0,0,0,0,4.02,0
 60-70,0,0,0.98,0,0,4.91,0,0,8.83,0,0,0,0,3.93,0,0,211.03,0.98,0,0,0,0,9.82,0
 72-82,0,0,0.98,0.98,0,15.71,0,0,5.89,0,0,0,0,10.8,0.98,1.96,236.58,0,0.98,0.98,0,0,14.72,0
 84-94,0,0,2.12,0,0,12.74,0,0,4.25,0,1.06,1.06,0,5.31,0,0,109.39,1.06,0,2.12,0,0,6.37,1.06
 96-106,0,0,2.19,0,0,19.67,0,0,4.37,0,0,0,1.09,17.49,0,1.09,100.54,1.09,1.09,1.09,0,0,4.37,0
108-118,0,0.77,3.06,0,0.77,7.66,0,0.77,3.83,0,0,0,0,17.62,0,2.3,111.83,0.77,0.77,0.77,0,0,2.3,0
120,0,0,1.96,1.96,0,0,1.96,0,3.92,1.96,0,0,0,23.52,0,0,97.99,1.96,0,0,0,0,3.92,0
