stage,axial,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,notochord,otic,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.87,0,0.57,0
 60-70,0,0,0.98,0.98,0,0,0,0,9.82,0,0,0
 72-82,0,0,0,2.94,0.98,0,0.98,0,12.76,0,0,0
 84-94,0,0,0,1.06,2.12,1.06,0,1.06,7.43,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,10.93,0,0,1.09
108-118,0,0,0.77,1.53,1.53,0,0,0,12.26,0,0,0
120,0,0,0,0,0,0,0,0,13.72,0,0,0
