stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,79.07,1937.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0
  5-6,147.11,2194.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,24.52,36.78,0,0,0,0,0,0,0
  7-9,28.92,26.29,49.95,0,0,78.86,0,0,0,55.2,0,0,0,0,0,0,0,0,1132.98,31.54,0,312.82,0,0,0,0,0,0,0,0
 10-12,0,18.88,40.91,0,3.15,100.7,0,0,0,28.32,0,0,0,0,0,0,0,0,575.9,6.29,0,248.61,0,3.15,28.32,3.15,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,8,0,1,0,0,2,0,2,10,0,0,0
 24-34,0,0,0,4.1,0,3.28,0,0.82,0,0,0,0.82,0,0,0,0.82,0,1.64,12.31,0,0,0,2.46,0,0,0,3.28,0,0.82,0
 36-46,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0,0,0,0.81,0,0,4.83,0,0,0,0.81,0,0,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,0.57,0.57,0,0,0,0.57,0,0,2.3,0,0.57,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,2.12,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,1.06,1.06,0,0,0,7.43,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,1.53,0,0.77,0,6.89,0,0,0,0,0,0,0.77
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0
