stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,28.92,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,3.15,0,0,84.97,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,138,10,0,25,0,0,0,6,7,0,0,1,0,3,0,6,43,0,0,32,134,4,0,3,11,0,0,0,21,6,3,31,187,0,0,3,0,3
 24-34,0,0,0.82,6.57,53.36,3.28,0,23.8,0,5.75,4.1,9.85,4.1,2.46,0,0.82,0,13.95,0.82,7.39,101.79,0,0,36.94,208.5,4.1,3.28,1.64,0,0.82,9.03,0,0,6.57,0,9.03,95.22,0,0,27.91,0,12.31
 36-46,0,0,0,0.81,29.81,1.61,0,16.92,0,1.61,12.09,23.36,0.81,0,0,0.81,2.42,5.64,0,1.61,166.77,0,0,27.39,98.29,1.61,3.22,2.42,0,1.61,8.86,0,0,4.03,0,0.81,49.15,0,0.81,11.28,0,0.81
 48-58,0,0,0,0.57,10.9,0.57,0,19.51,0,5.74,9.18,17.21,0.57,3.44,1.15,0.57,1.15,3.44,0,1.15,287.48,1.72,2.87,36.72,56.23,0,3.44,2.3,0,1.15,5.16,0,0,8.61,0,0,24.1,0,0.57,10.9,0,3.44
 60-70,0,0,0,0,13.74,0,0,14.72,0,4.91,13.74,28.46,1.96,0.98,0,0,0.98,1.96,2.94,0,382.79,0.98,5.89,25.52,34.35,1.96,0.98,2.94,0,2.94,4.91,0,0,2.94,0,0,8.83,0,7.85,8.83,1.96,3.93
 72-82,0,0,0,0,29.45,1.96,0,30.43,0,4.91,16.69,35.34,4.91,3.93,0,5.89,0.98,2.94,0.98,0,469.23,0,3.93,54.97,40.25,0,5.89,4.91,0,2.94,1.96,0,0,14.72,0,0,10.8,0,5.89,16.69,7.85,3.93
 84-94,0,0,0,0,46.73,3.19,0,30.8,1.06,15.93,18.05,18.05,4.25,2.12,1.06,7.43,3.19,3.19,2.12,0,318.61,1.06,6.37,25.49,22.3,3.19,2.12,3.19,0,2.12,19.12,0,0,11.68,1.06,0,11.68,3.19,7.43,15.93,7.43,3.19
 96-106,0,0,2.19,0,65.57,6.56,0,27.32,0,20.76,10.93,26.23,5.46,5.46,2.19,7.65,6.56,8.74,2.19,2.19,359.55,1.09,6.56,25.14,40.44,2.19,4.37,6.56,0,2.19,16.39,0,0,17.49,0,0,2.19,6.56,2.19,21.86,10.93,5.46
108-118,0,0,0,0,68.17,0,0.77,26.04,0.77,22.98,14.55,25.28,6.13,1.53,2.3,3.06,7.66,6.89,7.66,0.77,322.47,0.77,5.36,26.04,43.66,2.3,4.6,3.06,0,3.83,11.49,0,0,5.36,0,0,1.53,0.77,2.3,13.02,5.36,9.19
120,0,0,0,0,45.08,1.96,0,13.72,0,27.44,9.8,17.64,1.96,1.96,1.96,3.92,11.76,1.96,13.72,0,199.9,0,0,15.68,29.4,1.96,3.92,0,0,0,15.68,1.96,0,9.8,0,0,0,0,7.84,3.92,3.92,0
