stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,367.78,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.46,0,0,0,85.81,6.13,0,0,0,0,0,0,0
  7-9,10.51,18.4,13.14,0,0,0,7.89,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,68.35,13.14,0,0,867.48,0,5.26,0,2.63,0,0,0,0
 10-12,0,6.29,28.32,0,9.44,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,69.23,28.32,0,0,837.09,0,0,44.06,141.61,0,12.59,0,0
 14-21,0,2,5,10,109,0,8,0,0,4,0,0,0,0,0,0,0,3,14,0,0,28,84,4,0,1,8,3,0,1065,0,8,225,24,1
 24-34,0,0,0,1.64,7.39,0,4.1,0,3.28,1.64,0,0,0,0,0.82,0,0,0,9.85,0,0,5.75,22.16,0,0,0,0,2.46,0,4.1,0,0,70.59,6.57,4.93
 36-46,0,0,0,0.81,2.42,0,4.83,0,0,0.81,0,0,1.61,0,0,0.81,1.61,0,8.06,0,0,3.22,8.06,0.81,0,0,0,0.81,0,0,0,0,0.81,0.81,3.22
 48-58,0,0,0,1.72,0.57,0,4.59,0,1.72,0,0,0,1.72,0,0,0,0,0,9.18,0,0,5.16,8.61,0,0,0,0,0,0,0,0,0,0,3.44,1.72
 60-70,0,0,0,1.96,0,0,3.93,1.96,0,1.96,0,0,0,0,0,0,0,0,10.8,0,1.96,3.93,3.93,0,0,0,0,0,0,0,0,0,0,1.96,1.96
 72-82,0,0,0,6.87,0,0,0.98,0,0.98,12.76,0,0,0,0,0.98,0,0,0,27.49,0,0,4.91,5.89,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,4.25,5.31,0,0,0,1.06,0,0,0,0,23.36,0,0,2.12,4.25,0,0,0,0,3.19,0,0,0,0,0,0,2.12
 96-106,0,0,0,4.37,1.09,0,1.09,1.09,2.19,3.28,1.09,0,0,1.09,0,0,0,0,20.76,0,0,0,7.65,0,0,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,3.83,0,1.53,10.72,0,0,1.53,0,0.77,0.77,0,0,22.98,0,0,6.89,8.43,0,0.77,0.77,0,2.3,0,0,0,0,0,0,1.53
120,0,0,0,1.96,0,0,1.96,0,0,19.6,0,0,0,1.96,0,0,0,0,27.44,1.96,0,5.88,11.76,0,0,3.92,0,0,0,0,0,0,0,0,0
