stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,3,11,0,1,0,0,106,1,0,0,2,1,0,0,0,0,0
 24-34,0,0,3.28,0.82,105.07,0,0,4.93,0,4.1,0.82,1.64,0.82,0,0.82,0,4.93,0,86.19,0.82,0,4.1,6.57,0,4.1,59.92,14.78,18.06,4.93,0,220.81,0,0,0.82,0.82,5.75,0,0,2.46,0,0
 36-46,0,0,1.61,0,129.71,0.81,0,14.5,0.81,1.61,0.81,4.03,0.81,0,0,0.81,1.61,0,78.96,0.81,0,5.64,4.83,0,0.81,70.9,57.2,16.92,3.22,0.81,144.21,0,0.81,0,0,9.67,0,0,1.61,0,0
 48-58,0,0,1.15,0,185.91,0,0,44.76,0.57,6.31,0.57,8.61,0,0.57,2.3,0.57,4.02,0,65.99,0,1.72,37.87,2.3,8.03,6.31,122.79,70,13.77,8.61,1.72,142.3,0,0,0,0,33.28,0,0.57,4.59,1.72,2.87
 60-70,1.96,0,0.98,0,228.69,1.96,0,50.06,0,12.76,2.94,8.83,3.93,0.98,7.85,0.98,3.93,0,76.56,0.98,0,148.21,3.93,41.22,5.89,84.41,81.47,2.94,14.72,0,159.01,0,0,0,0,10.8,1.96,9.82,13.74,5.89,0
 72-82,0,0,4.91,0,362.23,3.93,0,132.52,0,19.63,6.87,37.3,18.65,0.98,32.39,0.98,18.65,0,98.17,2.94,0.98,515.37,10.8,69.7,19.63,266.03,78.53,9.82,11.78,5.89,214,0,0,0.98,0,21.6,8.83,16.69,46.14,35.34,6.87
 84-94,1.06,0,5.31,0,866.62,15.93,1.06,130.63,1.06,59.47,3.19,31.86,52.04,1.06,24.43,5.31,61.6,0,146.56,3.19,0,402.51,15.93,76.47,14.87,143.38,134.88,9.56,20.18,5.31,815.64,0,8.5,1.06,0,20.18,29.74,18.05,48.85,33.99,3.19
 96-106,2.19,0,9.84,1.09,1280.82,36.06,8.74,272.12,9.84,114.75,12.02,87.43,178.13,0,59.01,24.04,68.85,9.84,185.78,10.93,2.19,756.25,55.74,83.06,30.6,434.95,121.31,20.76,31.69,9.84,752.97,0,3.28,3.28,0,28.41,65.57,34.97,119.12,57.92,13.11
108-118,2.3,0,11.49,3.83,1425.46,26.81,16.09,163.15,3.06,165.45,6.13,85.02,200.68,0,30.64,14.55,91.92,6.13,129.45,21.45,1.53,839.5,49.79,85.02,39.83,455.75,145.53,11.49,36,8.43,791.24,0,10.72,2.3,0,21.45,119.49,25.28,106.47,39.83,11.49
120,3.92,0,11.76,0,1191.55,27.44,1.96,152.86,3.92,133.27,11.76,54.87,78.39,1.96,47.03,17.64,43.12,5.88,82.31,21.56,0,856.43,35.28,101.91,35.28,397.84,248.89,7.84,33.32,11.76,454.67,0,5.88,0,0,13.72,45.08,15.68,135.23,56.83,5.88
