stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,9.44,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,1,1,0,0,0,0,0,0,3,0,0,4,38,0,2,0,0,3,0,1,14,0,0,0
 24-34,0,0,0,4.93,0,0.82,0,0,0,0,0,0,0,8.21,0.82,0,1.64,130.52,0.82,0,0,0,0,0,0,30.37,0,4.93,0
 36-46,0,0,0.81,26.59,0,4.83,0,0,0,0,0.81,0,0,12.89,0,0.81,3.22,156.3,0.81,1.61,0,0,0,0,0,36.26,0.81,0.81,0
 48-58,0,0,0,33.85,0,4.59,0,0,0,0,0,0.57,0,17.21,0,0,2.3,103.28,0,0,0,0.57,0,0.57,0,21.23,0,0.57,0
 60-70,0,0,0,33.37,0,5.89,0,0,0,0,0,0,0,9.82,0,0,0.98,95.21,0,0,0,0,0,0,0,7.85,0,0,0
 72-82,0,0,0,31.41,1.96,9.82,0,0,0,0,0.98,0.98,0,14.72,0,0,1.96,66.75,0,0,0,0,0,0,0,4.91,0,0.98,0
 84-94,0,1.06,2.12,20.18,0,6.37,0,0,1.06,0,1.06,0,0,7.43,0,0,1.06,35.05,0,1.06,0,0,0,0,0,5.31,0,1.06,0
 96-106,0,0,1.09,20.76,1.09,6.56,0,1.09,1.09,0,1.09,0,1.09,12.02,0,1.09,2.19,20.76,0,0,0,0,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,12.26,1.53,4.6,0,0,0,0.77,0,0,0,8.43,0,1.53,0.77,37.53,0,0,0,0,0,0,0,1.53,1.53,0.77,0.77
120,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,9.8,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0
