stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,28.32,0,0,0,15.73,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,179,95,0,0,0,0
 24-34,0,0,0.82,0.82,0,3.28,57.46,0.82,0,0,0,2.46,0,0,0,0.82,0,0.82,0,16.42,71.41,0,0,0,3.28,0,129.7,56.64,4.1,1.64,0,0
 36-46,0,0,0,0,0,4.83,78.96,0,0,0,0,0.81,0,0.81,0,0,0,2.42,0,11.28,20.14,0,0,0,0.81,0,87.82,6.45,4.03,0.81,0,0
 48-58,0,0,0,0,0,7.46,58.53,0,0.57,1.72,0,0.57,0,0,0,0,0.57,7.46,0,19.51,28.12,0,0,0,0,0,64.27,0,3.44,1.15,0,1.15
 60-70,0,0,0,0.98,0,3.93,56.93,0,0.98,0.98,0,0,0,0,0,0,0,2.94,0,14.72,20.61,0,0,0,0,0,37.3,0,0.98,0,0,0
 72-82,0,0,0,1.96,1.96,6.87,37.3,0,0,2.94,0,0,0,0.98,0,0,0,10.8,0,13.74,9.82,0,0,0,0.98,0,17.67,0,4.91,1.96,0.98,0
 84-94,0,0,0,1.06,0,4.25,59.47,1.06,0,0,0,0,0,0,0,1.06,0,3.19,0,26.55,9.56,0,0,0,3.19,0,35.05,0,0,2.12,0,0
 96-106,0,0,0,2.19,1.09,5.46,85.24,0,2.19,2.19,0,0,1.09,0,0,0,0,8.74,1.09,18.58,16.39,0,0,0,2.19,0,37.16,0,0,3.28,0,2.19
108-118,0,0,0,0,0,3.06,78.13,0,0,1.53,0.77,0.77,0,0,0.77,0,0,6.13,0,31.4,6.89,0,0.77,0,3.06,0,33.7,0,0.77,0,0,0
120,0,1.96,0,1.96,0,5.88,62.71,0,0,0,0,0,0,0,0,1.96,0,1.96,0,35.28,11.76,0,0,1.96,3.92,1.96,9.8,0,0,0,0,0
