stage,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,1,2,0,2,0,0,1,1,0,0,0,0
 24-34,0,0,1.64,0,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,1.61,0,0,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.3,0,0,1.72,0.57,5.74,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,5.89,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,3.93,0,0,3.93,0,6.87,0,0,1.96,0,0,0.98,0,0,0,0
 84-94,0,0,4.25,1.06,0,1.06,0,4.25,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0.77,0,1.53,0,0.77,0.77,0,0.77,0,0,0.77,0,0,0,1.53,0,0.77,0
120,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,1.96,0,0,0,0,0,0
