stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,13,4,1,0,0,1,0,0,1,0,1,4,4,0,0,45,0,0
 24-34,0.82,0,0,0,20.52,9.03,0,3.28,0,0,3.28,0,0.82,7.39,2.46,0,0,1.64,0,0.82,107.53,0,0,66.49,14.78,1.64,0,0.82,0,0,0,0,3.28,0,0.82,3.28,0,0,149.4,0,0
 36-46,0,0,0,0,21.75,0.81,0,4.83,0,4.83,4.83,0,0.81,8.86,1.61,0,0,0.81,0.81,0,204.64,0,0,65.26,8.06,0,0.81,1.61,0,0,0,0,1.61,0,0,4.83,0,0,43.51,0,0
 48-58,0,0,0,0,25.82,0,0,9.18,0.57,9.75,12.05,0.57,4.02,5.74,4.02,0,0,0,1.15,0,258.79,0,0.57,40.74,12.62,0,1.72,0,0,0,0.57,0,0.57,0,0,0,0,1.15,32.71,0,0
 60-70,0,0,0,0,21.59,0.98,0,7.85,0,13.74,2.94,1.96,12.76,5.89,4.91,0,0,1.96,5.89,0.98,347.46,0,0,35.33,17.67,0,3.93,0.98,0,0,0,0,0.98,0,0,1.96,0,3.93,26.5,0,0
 72-82,0,0,0,0.98,37.3,0.98,0,24.54,0.98,16.69,24.54,8.83,21.6,14.72,7.85,0,0.98,2.94,9.82,0,507.52,0,2.94,34.36,26.5,0,1.96,0,0,1.96,0.98,0,0.98,0,0,2.94,0,2.94,80.5,2.94,0.98
 84-94,0,0,1.06,0,65.85,0,0,32.92,0,32.92,12.74,1.06,22.3,10.62,9.56,0,0,1.06,39.3,0,260.2,0,6.37,15.93,10.62,0,5.31,1.06,0,1.06,2.12,0,3.19,0,0,0,0,3.19,74.34,0,0
 96-106,0,0,0,0,48.09,0,0,41.53,0,17.49,10.93,3.28,9.84,19.67,4.37,1.09,0,3.28,27.32,0,256.82,1.09,3.28,12.02,24.04,0,10.93,2.19,0,2.19,1.09,0,4.37,0,0,0,0,4.37,69.94,0,0
108-118,0,0,0,0.77,83.49,0.77,0.77,40.6,0,27.57,9.96,0.77,15.32,8.43,4.6,0,0,3.06,49.79,0,260.43,2.3,4.6,16.09,17.62,0.77,3.06,3.83,0,1.53,0,0,3.06,0,0,0.77,0.77,0.77,67.4,3.06,0
120,0,0,0,0,50.95,1.96,0,17.64,1.96,21.56,7.84,0,11.76,7.84,7.84,0,0,5.88,25.48,0,172.46,0,0,5.88,13.72,0,5.88,5.88,0,1.96,1.96,0,3.92,0,0,0,1.96,1.96,43.12,0,0
