stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,53,1,0,0,0,0,3,0,3,0,0,21,15,0,1,0,0
 24-34,0,0.82,0,2.46,0,5.75,0.82,0,0,2.46,0,0,0.82,3.28,0.82,0,0,0,0.82,5.75,0,0,4.1,70.59,0,0,0.82,0,0,3.28,0,0,0,0.82,9.85,16.42,0,0.82,0,0
 36-46,0,0,0,2.42,0,3.22,0.81,0.81,1.61,6.45,0,0,0,0.81,0.81,0,0,0,0,12.09,0,0,4.83,59.62,0,0,0,0,0,2.42,0.81,0,0,0,0.81,22.56,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,10.9,1.15,0,0.57,9.18,0,0.57,0,0.57,0.57,0,0,0,0.57,7.46,0,0,2.87,22.95,0,0.57,0,0,0,4.02,0,0,0,0,0,8.61,0,1.15,0,0.57
 60-70,0,0,0,3.93,0,13.74,0.98,0.98,0.98,8.83,0.98,0.98,0,2.94,0,0,0,0,0,10.8,0,0.98,4.91,17.67,0,0,0.98,0,0,1.96,0,0,0,0,0,5.89,0.98,1.96,0,0
 72-82,0,0,0,0.98,0.98,8.83,0.98,0,2.94,9.82,0,0.98,0,3.93,1.96,0,0,0,0,27.49,0,0.98,2.94,18.65,0,0.98,1.96,0,0,5.89,0,0,0,0,0,4.91,0,2.94,1.96,0.98
 84-94,0,0,0,3.19,1.06,10.62,1.06,0,0,5.31,1.06,1.06,0,8.5,1.06,0,0,0,0,9.56,0,0,2.12,18.05,0,0,0,0,1.06,12.74,0,0,0,0,0,4.25,0,2.12,0,0
 96-106,0,0,0,9.84,3.28,6.56,0,1.09,1.09,12.02,3.28,0,0,18.58,3.28,0,2.19,1.09,0,16.39,0,1.09,3.28,15.3,1.09,1.09,3.28,0,0,5.46,0,0,1.09,0,0,1.09,1.09,6.56,1.09,2.19
108-118,0,0,0,11.49,0.77,9.96,1.53,2.3,0,8.43,2.3,0,0.77,12.26,5.36,2.3,1.53,0,1.53,13.79,2.3,0,6.13,19.15,1.53,1.53,0.77,0,0,9.19,0,0,0,1.53,0,2.3,1.53,0.77,0.77,3.06
120,0,0,0,9.8,3.92,9.8,1.96,5.88,0,17.64,1.96,0,0,23.52,1.96,3.92,1.96,0,0,17.64,0,0,3.92,33.32,0,0,1.96,0,3.92,11.76,0,0,0,0,0,1.96,0,1.96,0,0
