stage,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,presomitic.mesoderm,spinal.cord
 14-21,0,21,1,0,0,0,9,0,1,3,1,0
 24-34,0.82,4.93,0.82,0,0,1.64,10.67,0,2.46,3.28,0,0.82
 36-46,0,0,0,0,0,0,8.86,1.61,1.61,0.81,0,1.61
 48-58,0,1.15,0,0,0,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,0.98,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
