stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20,0,0,0,0,0,0,29,0,0
 24-34,0,3.28,0,0,0,4.1,0,0,0,0,1.64,0,0,0.82,0.82,0,0,92.76,0.82,4.1,0.82,0,0,0,57.46,0,0.82
 36-46,0,0,0,0,0,11.28,0,0,0,0,0.81,0,0,0,0,0,0,198.19,0,4.03,0,0,0,0,39.48,0,0
 48-58,0,0,0,1.72,0,38.44,0,0,2.87,0,0,0,0,0.57,2.3,0,0.57,233.54,0,5.16,0,0,0,0,33.28,0,0.57
 60-70,0,0,0,0,0,128.58,0,0,4.91,0,0.98,0,0.98,0,5.89,0,0,289.55,0,6.87,1.96,0,0.98,0,28.46,0,0
 72-82,0,1.96,0,0.98,0.98,261.12,0,0.98,2.94,0,0.98,0.98,0.98,0,10.8,0,0,335.73,0.98,12.76,1.96,0,0,0,19.63,0.98,1.96
 84-94,0,2.12,0,5.31,1.06,199.66,0,1.06,7.43,3.19,0,0,0,0,7.43,1.06,1.06,196.48,0,6.37,0,1.06,2.12,1.06,12.74,0,0
 96-106,0,3.28,0,2.19,1.09,177.04,0,1.09,6.56,3.28,0,0,1.09,1.09,15.3,0,2.19,142.07,0,16.39,4.37,1.09,1.09,0,9.84,0,0
108-118,0,0,0,0,0,110.3,0.77,0,4.6,0,0.77,0.77,0.77,0,15.32,0,0,161.62,0,3.06,4.6,0,0,0,4.6,0,0.77
120,0,3.92,0,1.96,0,74.47,0,0,1.96,0,0,0,0,0,11.76,1.96,0,160.7,0,1.96,3.92,0,0,0,7.84,0,0
