stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,91.26,3.15,0,0,25.18,0,9.44,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,2,0,0,28,0,4,0,0,0,8,0,0,0,1,0,102,0,1,0,0,0,5,0,0,1,0,0
 24-34,0,0,0.82,9.85,0.82,0,9.85,0,4.1,0.82,1.64,0,0,0,0,1.64,2.46,0,24.63,1.64,22.16,3.28,0,4.93,52.53,1.64,0.82,0.82,0,0,282.37,0,0,5.75,0,2.46,13.13,0,0,1.64,0,5.75
 36-46,0,0,0,12.89,0,0,6.45,0.81,2.42,2.42,1.61,0,0,0,0.81,0.81,4.03,0,3.22,1.61,17.72,6.45,0.81,6.45,22.56,1.61,6.45,1.61,0,0,219.14,0,0,4.03,0,0,4.83,0,0,6.45,0,3.22
 48-58,0,0,0,13.77,0,0,5.16,0,2.3,10.9,0.57,0.57,0.57,0.57,0,1.15,6.31,0,8.03,1.72,24.67,11.48,0,4.59,20.08,1.15,5.16,0,0,0,222.64,0,0,2.3,0,0,3.44,0,0,2.3,0,5.74
 60-70,0,0,0,12.76,0,0,7.85,0.98,9.82,5.89,0,7.85,0,0,0,1.96,16.69,0,13.74,0,28.46,6.87,0,3.93,22.58,0,0.98,0.98,0,0.98,178.64,0,0,9.82,0,0,1.96,0,0,0.98,0.98,4.91
 72-82,0,1.96,0,18.65,0.98,0.98,13.74,0,3.93,13.74,8.83,64.79,0,0.98,0.98,3.93,10.8,0,84.42,1.96,53.01,12.76,0.98,4.91,32.39,1.96,3.93,0.98,0,0.98,115.84,0,0,44.17,0,0,1.96,1.96,0,1.96,0,0.98
 84-94,0,0,0,31.86,3.19,12.74,13.81,0,12.74,10.62,1.06,103.02,0,1.06,0,4.25,10.62,0,208.16,0,53.1,10.62,2.12,3.19,25.49,1.06,1.06,1.06,0,0,307.99,1.06,0,81.78,0,0,0,0,0,2.12,0,1.06
 96-106,0,1.09,0,37.16,5.46,7.65,15.3,0,2.19,12.02,6.56,251.35,0,0,2.19,9.84,7.65,1.09,519.1,0,48.09,15.3,0,2.19,92.89,2.19,13.11,2.19,0,0,207.64,0,0,103.82,1.09,0,0,4.37,2.19,7.65,2.19,1.09
108-118,0,0,0.77,28.34,4.6,19.92,9.19,0,9.19,11.49,11.49,317.87,0,0,4.6,7.66,19.15,0.77,903.84,0,44.43,8.43,2.3,5.36,67.4,0,4.6,0.77,0,0.77,178.47,0,0,104.17,0,0,0.77,3.06,0.77,3.83,0,2.3
120,0,1.96,0,52.91,0,11.76,13.72,0,13.72,11.76,5.88,260.65,0,0,3.92,1.96,19.6,0,487.99,0,52.91,9.8,3.92,9.8,64.67,0,3.92,0,0,0,182.26,0,0,80.35,0,0,0,1.96,0,1.96,0,0
