stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,28.92,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,1.09,0,1.09,0,0,1.09,1.09,0,4.37,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0,0,0,0.77,0,1.53,1.53,0,0,0,1.53,0,0,0,2.3,0,0,3.83,0,0,0,0,0,0,0,1.53
120,0,0,1.96,0,1.96,0,1.96,0,0,0,1.96,0,0,1.96,1.96,0,3.92,0,0,48.99,0,0,0,0,0,0,1.96,0
