stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,3,37,0,0,0,0,0,5,5,1,0,5,19,0,0,0,0,1
 24-34,0,0,0.82,8.21,0.82,0,7.39,0.82,0.82,0,1.64,0,2.46,0,0,0,0,0,0,9.85,0,0.82,4.93,55.82,0.82,0,0,0,0,9.03,0,0.82,0,1.64,18.06,0,0,3.28,0,0.82
 36-46,0,0,0,0.81,0.81,0,11.28,0.81,0.81,0.81,1.61,0,0.81,0,0,0,0,0,1.61,16.92,0,0,3.22,65.26,0,0.81,0,0,0,6.45,0,0.81,0,0,21.75,0,0,0,0,2.42
 48-58,0,0,0,0.57,0,0,10.9,0,0.57,0.57,2.87,0,0.57,0,0,0,0,0.57,2.87,21.23,0,0,4.59,32.71,0,0.57,0.57,0,0,5.74,0,0,0,0,9.75,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,0,9.82,1.96,0.98,0,3.93,0.98,0,0,0.98,0.98,0,0,1.96,28.46,0,0,1.96,19.63,0,0.98,0.98,0,0,1.96,0,0,0.98,0,2.94,0.98,0.98,1.96,0,0.98
 72-82,0,0,0,1.96,1.96,0,10.8,0.98,0.98,1.96,8.83,1.96,0.98,0.98,0.98,0.98,0.98,0,0,37.3,0,0,4.91,37.3,0.98,0.98,0.98,0,0.98,5.89,0,0,0,0,1.96,0.98,0,7.85,0,1.96
 84-94,0,0,0,8.5,0,0,12.74,1.06,2.12,1.06,9.56,2.12,0,0,0,1.06,1.06,0,0,33.99,0,1.06,4.25,18.05,1.06,1.06,0,0,0,9.56,0,3.19,0,0,2.12,0,1.06,3.19,0,2.12
 96-106,0,1.09,0,8.74,0,1.09,14.21,0,1.09,2.19,10.93,2.19,2.19,0,1.09,1.09,0,0,1.09,31.69,0,2.19,5.46,14.21,1.09,2.19,1.09,0,1.09,10.93,0,1.09,0,0,1.09,1.09,0,6.56,3.28,1.09
108-118,0,0.77,0,11.49,0.77,1.53,12.26,0,0,1.53,6.13,0.77,0,0.77,0.77,0.77,0,0,2.3,30.64,0.77,2.3,7.66,29.11,0.77,3.83,0,0,0,9.96,0,1.53,0,0,2.3,0.77,0.77,5.36,0.77,3.06
120,0,0,0,19.6,0,0,9.8,0,5.88,1.96,7.84,3.92,1.96,3.92,1.96,1.96,0,0,0,17.64,0,0,0,29.4,0,1.96,1.96,0,0,3.92,0,1.96,0,0,1.96,0,0,1.96,1.96,0
