stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,3,0,0,6,0,0,3,0,0
 24-34,0,0.82,0,0,2.46,0.82,0,2.46,0,0,0.82,0.82,0,0,0.82,4.1,0,0,0.82,0,4.93,0,0,1.64,20.52,0,18.06,0.82,0,0,0.82,0,0,0,0.82,7.39,0,0,28.73,0,0
 36-46,0,0,0,0,0,0,0,8.86,0,0,0.81,4.03,0,0,0.81,10.47,0,0,0,0,4.83,0,0,0,37.06,0,17.72,0.81,0,0,0.81,0,0,0,0,4.03,0,0,33.03,0,0
 48-58,0,0.57,0,0,0,0,0,13.2,0,0,0.57,14.92,0,0.57,0.57,15.49,0,0.57,0,0,8.03,0,0,1.15,34.43,0,11.48,2.87,0,0,2.3,0,0,0,1.15,1.72,0,0,20.66,0,0.57
 60-70,0,0,0,0,0.98,0,0,10.8,0.98,0,0.98,13.74,0,0,0,10.8,0.98,0,0,0,12.76,0,0,2.94,27.48,0,14.72,3.93,0,0,0,0,0,0,0,0.98,0,0,10.8,0.98,0
 72-82,0,0,0.98,0,0.98,0.98,0,25.52,0,0,0,31.41,0,0,1.96,17.67,0.98,0,0.98,0,31.41,0,0,0,26.5,0,26.5,17.67,0,0,9.82,0,0,0,0,0.98,0.98,0,27.49,0.98,0
 84-94,0,0,0,0,2.12,1.06,0,31.86,0,2.12,1.06,25.49,2.12,0,2.12,24.43,0,0,1.06,0,32.92,2.12,1.06,2.12,22.3,2.12,75.4,13.81,0,2.12,18.05,1.06,0,0,0,1.06,2.12,1.06,30.8,0,0
 96-106,0,0,2.19,0,2.19,2.19,1.09,46.99,2.19,0,2.19,25.14,4.37,0,7.65,37.16,1.09,1.09,1.09,1.09,54.64,0,1.09,1.09,28.41,0,115.84,19.67,0,0,72.13,0,0,0,0,1.09,3.28,0,39.34,0,0
108-118,0,0,0.77,0.77,2.3,0.77,0.77,47.49,0,2.3,0,23.74,0,0,2.3,18.38,1.53,0,3.83,0,38.3,0.77,0,0.77,12.26,0,62.04,21.45,0,0.77,42.89,0,0,0,0,1.53,3.83,0,27.57,0,0
120,0,0,0,0,3.92,0,0,13.72,0,1.96,0,25.48,0,0,1.96,25.48,0,0,5.88,0,33.32,0,0,0,13.72,0,33.32,17.64,0,0,27.44,0,0,0,0,0,0,0,35.28,1.96,0
