stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,21,0,0,0,0,0,0,1,2,1,1,13,0,0,0,0
 24-34,0,0,0,2.46,0,0,7.39,0,0.82,0,0,0,0,0,0,0,0,0,0,9.03,0,0,3.28,91.94,0.82,0,1.64,0,0,0,0,0.82,1.64,1.64,32.83,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,16.11,0.81,0.81,0.81,4.83,0,0,0,0,0,0,0,0,7.25,0,0,4.03,100.71,0.81,0,0,0,0,0,0,2.42,0,0,25.78,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,88.37,0,0,0,9.75,0,0,1.15,0,0,0,0,0,15.49,0,0.57,2.3,147.47,0,0.57,1.15,0,0,0,0,2.3,0,0,26.4,0,0,0,0
 60-70,0,0,0,0.98,0,0,291.51,0,0.98,2.94,21.59,0.98,0,0,0,0,0,0,0,17.67,0,0,1.96,215.93,0,0.98,0,0,0,2.94,0,2.94,0,0,18.65,0.98,0.98,0,0
 72-82,0,0.98,0,8.83,1.96,0,699.92,0,0.98,3.93,119.76,9.82,0,0,1.96,0,1.96,1.96,0.98,35.34,0,3.93,6.87,390.7,0,0.98,0,0,0.98,0.98,0,0,0,0,31.41,0,2.94,1.96,1.96
 84-94,0,0,1.06,13.81,0,1.06,536.33,1.06,2.12,3.19,84.96,6.37,0,0,1.06,0,1.06,0,1.06,18.05,1.06,1.06,1.06,204.97,0,1.06,1.06,0,0,4.25,0,2.12,0,0,13.81,0,3.19,3.19,2.12
 96-106,0,1.09,0,17.49,3.28,0,649.15,1.09,1.09,3.28,123.49,18.58,0,2.19,1.09,1.09,1.09,0,2.19,26.23,1.09,1.09,0,239.33,1.09,1.09,1.09,0,2.19,1.09,0,2.19,0,0,9.84,1.09,2.19,3.28,2.19
108-118,0,0,0,6.13,0.77,0.77,487.92,0,0,0.77,78.89,12.26,0,0.77,2.3,0,0.77,1.53,1.53,19.15,0,0,1.53,307.92,0,2.3,5.36,0,0.77,1.53,0,1.53,0,0,14.55,0,0.77,1.53,0
120,0,0,0,3.92,0,0,282.21,1.96,1.96,3.92,72.51,11.76,0,0,1.96,0,0,0,0,15.68,0,0,0,297.89,1.96,0,1.96,0,0,1.96,0,0,0,0,9.8,0,0,0,1.96
