stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0
 24-34,0,0,1.64,0.82,0.82,0,0,0,0,0,0,0.82,8.21,0,0,0,4.1,0,0,0
 36-46,0.81,0,0,0,0.81,0,0.81,0,0,0.81,0,0,8.86,0,0,0,2.42,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,4.02,0,0,4.02,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,0,0,4.91,0.98,0,4.91,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,10.8,0.98,0,8.83,0,0.98,0,1.96,1.96,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,1.06,0,0,0,3.19,0,3.19,0,5.31,1.06,0,1.06
 96-106,1.09,0,0,0,1.09,0,0,0,0,1.09,1.09,0,8.74,1.09,0,0,3.28,1.09,1.09,1.09
108-118,0,0,0,0,2.3,0,0,1.53,0,6.13,0,0,3.06,0.77,0,0,2.3,0,0,0
120,0,0,0,0,1.96,1.96,0,0,1.96,5.88,1.96,0,5.88,0,0,0,0,0,0,0
