stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,25.18,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,185.67,6.29,0,0,78.67,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,6,63,3,0,28,0,0,5,4,0,2,0,0,0,0,0,1,37,0,0,17,254,7,0,5,2,0,3,0,19,0,36,68,0,0,0,0,0
 24-34,0,0,1.64,1.64,17.24,0.82,0,39.4,0.82,2.46,8.21,1.64,0,0,2.46,0,0,0.82,0,0.82,44.33,0,0,11.49,246.26,2.46,4.1,3.28,0,0,18.06,0,0,0.82,2.46,66.49,0,0,4.1,0,0
 36-46,0,0,0,0,7.25,0,0,37.06,0,4.03,17.72,1.61,0,1.61,0,0.81,0,0.81,0.81,1.61,49.95,0,0.81,11.28,182.08,3.22,2.42,0.81,0,0,16.11,0,0,0.81,0,58.81,0,0,3.22,0,0
 48-58,0,0,0,0.57,8.03,0,0,39.02,1.72,1.15,18.94,0,1.72,0,0.57,0,1.15,1.15,0,0.57,59.1,0,2.3,5.74,102.14,2.3,1.72,3.44,0,0.57,5.74,0,0,0.57,0,34.43,0,0.57,4.02,0,1.15
 60-70,0,0,0,0,8.83,0,0,54.97,2.94,2.94,46.13,0.98,0.98,2.94,0.98,0.98,0,0.98,0,0,95.21,0,5.89,16.69,155.08,0.98,2.94,0,0,0,9.82,0,0,0,0,34.35,0,1.96,3.93,1.96,0.98
 72-82,0,0,2.94,0,11.78,0,0,68.72,1.96,4.91,45.16,4.91,0,2.94,0.98,0,0.98,4.91,0.98,0,133.51,0.98,4.91,13.74,126.63,2.94,11.78,3.93,0,0.98,12.76,0,0,0,0,20.61,0.98,2.94,15.71,4.91,0.98
 84-94,0,0,2.12,0,15.93,1.06,0,30.8,2.12,0,19.12,5.31,0,3.19,4.25,1.06,1.06,5.31,2.12,0,69.03,0,4.25,6.37,56.29,0,5.31,3.19,0,0,22.3,0,0,0,0,10.62,3.19,2.12,8.5,2.12,2.12
 96-106,0,0,1.09,0,22.95,1.09,0,40.44,2.19,7.65,45.9,5.46,0,3.28,6.56,3.28,5.46,4.37,2.19,0,89.61,0,3.28,10.93,80.87,3.28,9.84,7.65,0,2.19,36.06,0,0,1.09,0,9.84,5.46,4.37,14.21,4.37,3.28
108-118,0,0,3.83,0,22.21,0.77,2.3,48.26,8.43,3.06,50.55,9.19,0,4.6,3.83,3.83,4.6,6.13,2.3,2.3,129.45,0,6.13,13.79,104.94,5.36,7.66,12.26,0,8.43,36.77,0,0,0.77,0,3.83,4.6,3.83,16.85,2.3,3.06
120,0,0,3.92,1.96,31.36,0,0,47.03,7.84,3.92,48.99,1.96,0,0,5.88,0,0,1.96,0,1.96,84.27,1.96,1.96,5.88,66.63,0,3.92,5.88,0,0,17.64,0,0,1.96,0,3.92,3.92,0,7.84,3.92,0
