stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,4,1,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,3.28,11.49,0,0,0,0,0,0,0.82,4.1,8.21,7.39,0,0,0
 36-46,0,0,0,0.81,0,1.61,5.64,0,0,0.81,0,0,1.61,4.83,7.25,0,0,0,0,1.61,0,0.81,7.25,0.81,3.22,0,0,0
 48-58,0,0,0,0.57,0,1.72,2.87,0,0.57,0,0,0,1.72,2.3,8.03,0,0,0,0,0,0,0,2.87,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,2.94,8.83,0,0.98,0,0,0,0,4.91,3.93,0,0,0.98,0,0,0,0,1.96,0,2.94,0,0,0
 72-82,0,0,0,0,0.98,5.89,12.76,0,9.82,0,0.98,0,5.89,1.96,11.78,0,0,0,0,0,0,0,3.93,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,5.31,21.24,1.06,2.12,0,0,1.06,3.19,3.19,7.43,0,1.06,0,0,1.06,0,0,2.12,0,0,0,0,1.06
 96-106,0,0,1.09,0,1.09,5.46,24.04,0,4.37,1.09,1.09,1.09,4.37,5.46,5.46,1.09,1.09,1.09,1.09,2.19,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,6.89,26.04,0,5.36,0.77,0,3.83,0.77,4.6,6.89,0,0,0,0,0.77,0,0,1.53,0,0.77,1.53,0.77,0
120,0,0,0,1.96,0,3.92,23.52,0,0,0,0,1.96,5.88,1.96,7.84,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0
