stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,2,0,0,3,0,0,0,0,0,0,0,5,0,0,0,116,0,0,0,0,0,0,1,14,0,1,0,0
 24-34,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0,0,0,0,84.55,0,0,4.1,622.21,0,2.46,0,0,0.82,0,3.28,27.09,0,18.06,0,0.82
 36-46,0,0,0,0,0,4.03,0,4.03,45.12,0,0,0,0,0,0,0,116.82,0,0.81,4.03,530.94,0,2.42,0.81,0,0,0.81,0.81,41.89,0,8.86,0.81,0
 48-58,0,0,0,0.57,0,6.31,1.15,0,71.73,0,0,0,0,1.72,0,0.57,272.56,0,1.15,4.59,317.89,0,1.72,0.57,0,0,0.57,0,49.92,4.02,12.62,0,0
 60-70,0,0,0,0.98,1.96,9.82,0,5.89,55.95,0,0.98,0,0,0.98,0.98,0,391.63,0,0.98,4.91,187.47,0.98,0.98,0.98,0,0,0.98,0.98,25.52,9.82,17.67,0,0
 72-82,0,0,0,2.94,0,7.85,0,10.8,40.25,0.98,2.94,0.98,0,0,0,0,525.19,0.98,3.93,5.89,121.73,0,4.91,0,0,0,0.98,0,18.65,17.67,30.43,2.94,0
 84-94,0,0,1.06,0,0,32.92,0,6.37,18.05,4.25,2.12,1.06,0,0,0,0,367.46,0,0,4.25,38.23,0,6.37,1.06,0,0,0,1.06,7.43,10.62,18.05,3.19,0
 96-106,1.09,0,0,4.37,1.09,16.39,0,6.56,14.21,2.19,1.09,2.19,0,0,0,0,257.91,0,5.46,0,48.09,0,9.84,1.09,0,0,0,1.09,7.65,15.3,27.32,3.28,0
108-118,0,0,0,2.3,0,15.32,0,3.83,12.26,1.53,1.53,0,0,0,0,0,188.43,0,1.53,2.3,45.96,0,4.6,0,0,0.77,1.53,0.77,2.3,6.13,26.81,0.77,0
120,0,0,0,11.76,0,19.6,0,5.88,21.56,3.92,0,1.96,1.96,0,0,3.92,243.01,3.92,3.92,1.96,72.51,0,13.72,0,0,0,1.96,0,5.88,13.72,33.32,0,0
