stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,14,1,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,0,0,0,0.82,1.64,0,0.82,0,23.8,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,0,1.61,1.61,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,0,0,0.57,4.02,0,3.44,0,0,1.15,0,0.57,0.57
 60-70,0.98,0,0,0.98,0,0,0.98,0,0,0,0,3.93,0,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0.98,0,2.94,0,2.94,8.83,0,0.98,0,0.98,0
 84-94,6.37,1.06,0,0,0,0,3.19,0,3.19,0,0,3.19,0,8.5,39.3,0,0,0,0,0
 96-106,27.32,0,0,3.28,0,1.09,9.84,0,0,2.19,0,2.19,0,7.65,46.99,0,0,3.28,1.09,1.09
108-118,36,0,0.77,0.77,0.77,0,10.72,0.77,5.36,1.53,0,3.06,0,6.89,51.32,0,0,0.77,0,0
120,17.64,0,0,1.96,0,1.96,7.84,0,0,0,0,3.92,0,1.96,74.47,0,0,1.96,0,0
