stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,355.52,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,2.63,0,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,189.27,7.89,0,0,76.23,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,220.29,15.73,0,0,75.53,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,121,16,0,21,0,0,0,2,4,3,1,2,4,0,0,0,0,15,1,0,14,215,7,4,8,8,13,0,76,8,5,58,91,0,0,2,0,1
 24-34,0,0,0,2.46,26.27,1.64,0,21.34,0,4.1,0,3.28,1.64,0,0.82,0,8.21,1.64,1.64,0.82,3.28,24.63,1.64,0,8.21,192.08,1.64,9.85,5.75,0,32.01,0,0.82,2.46,2.46,9.85,70.59,0,0,2.46,0,1.64
 36-46,0,0,0,0.81,4.03,0,0,20.14,1.61,1.61,0,4.03,0,0,0.81,1.61,4.83,0,0.81,0,1.61,4.03,0.81,0.81,1.61,73.32,0.81,0,0.81,0,28.2,0,0,1.61,0,0,12.89,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,2.87,0,0,48.2,0.57,0,0.57,3.44,0,0,0.57,1.15,0,0,0,0,1.15,9.75,0.57,0,1.72,78.61,0.57,2.3,0.57,0,9.18,0,0,0,0.57,0,19.51,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,81.47,0,0,0,2.94,0,0,0,8.83,2.94,0.98,0.98,0,0.98,10.8,0,0,0,45.15,0,0,3.93,0,7.85,0,0,0.98,0,0,10.8,0,0,1.96,0.98,1.96
 72-82,0,0,0.98,0,9.82,2.94,0,38.28,0,0.98,1.96,5.89,3.93,0,0,7.85,3.93,0,2.94,0,0,8.83,0,0,0.98,48.1,0,1.96,4.91,0,18.65,0,0,0.98,0,0,3.93,2.94,0,1.96,0,1.96
 84-94,0,0,1.06,0,19.12,5.31,2.12,48.85,0,6.37,3.19,5.31,4.25,0,1.06,7.43,2.12,1.06,1.06,2.12,1.06,13.81,3.19,0,0,41.42,1.06,5.31,3.19,0,67.97,0,0,4.25,1.06,0,4.25,5.31,0,2.12,0,1.06
 96-106,0,0,1.09,0,19.67,6.56,0,44.81,0,6.56,2.19,5.46,6.56,0,0,8.74,7.65,1.09,2.19,1.09,0,13.11,3.28,0,2.19,48.09,0,4.37,5.46,0,51.36,0,0,4.37,0,0,3.28,9.84,0,3.28,1.09,3.28
108-118,0,0,2.3,0.77,27.57,2.3,2.3,33.7,0.77,10.72,0,6.13,4.6,0,0,13.02,6.13,3.06,0.77,3.06,0.77,6.89,2.3,0,1.53,43.66,2.3,4.6,4.6,0,48.26,0,0,1.53,0,0,1.53,6.13,0,0.77,0.77,2.3
120,0,0,0,0,19.6,0,0,25.48,0,9.8,1.96,3.92,3.92,0,1.96,7.84,1.96,0,0,1.96,0,1.96,0,0,3.92,45.08,1.96,3.92,1.96,0,47.03,1.96,0,1.96,1.96,0,0,1.96,1.96,0,0,1.96
