stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,19,0,0,0,1,0,0,1,0,4,7,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0,0.82,22.98,0,1.64,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0.81,0,0,4.83,0,0,4.03,0.81,0.81,0.81,0,0,0,0,3.22,0,0,0,32.23,0,0.81,0,0,0,0,0,0,0,7.25,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,0,10.33,0,0.57,4.59,0,0,1.15,0,0,0.57,0,3.44,0,0,1.15,49.35,0,0,0,0,0,0,0,0.57,0,7.46,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,27.48,0,0,4.91,0,0,2.94,0,0,0.98,0,14.72,0,0,0,75.58,0,1.96,0.98,0,0.98,0,0,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,1.96,0.98,0,77.55,0,0,10.8,0,0,1.96,0,0,0,0.98,26.5,0,0.98,0,136.45,0,0,2.94,0,0,0.98,0,0,0,3.93,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,0,36.11,0,0,4.25,2.12,0,5.31,1.06,0,0,0,6.37,0,0,4.25,65.85,0,0,0,0,3.19,1.06,0,0,0,1.06,0,0,2.12,0,0
 96-106,2.19,0,1.09,0,0,62.29,0,0,10.93,2.19,2.19,1.09,0,0,0,0,21.86,1.09,0,0,71.04,0,1.09,2.19,0,1.09,3.28,0,0,0,0,0,0,2.19,0,0
108-118,0.77,0,3.06,2.3,0.77,36,0.77,0.77,7.66,0.77,0,2.3,0,0,0.77,0,18.38,0,0,0.77,80.43,1.53,0,1.53,0,0.77,0,0,0,0,0,0.77,0,0.77,0.77,0.77
120,1.96,0,3.92,3.92,0,13.72,0,0,7.84,3.92,1.96,1.96,0,1.96,0,0,7.84,0,0,3.92,62.71,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0
